"field_date","site_reach","site","reach","green_algae","microcoleus","anabaena_cylindrospermum","other_nfixers","bare_biofilm"
2023-09-18,"SFE-M-4","SFE-M","4",0.454545455,0.545454545,0.181818182,2.636363636,96.18181818
2023-09-24,"SFE-M-1S","SFE-M","1S",2,13,2.090909091,13.27272727,69.63636364
2023-09-24,"SFE-M-2","SFE-M","2",0,16.18181818,0,0,83.81818182
2023-09-24,"SFE-M-3","SFE-M","3",0,22.72727273,0,0,77.27272727
2023-09-24,"SFE-M-4","SFE-M","4",0.181818182,0,0.090909091,3.454545455,96.27272727
2024-06-19,"SFE-M-1S","SFE-M","1S",0.647058823529412,0,0,0.176470588235294,99.1764705882353
2024-06-19,"SFE-M-2","SFE-M","2",0.666666666666667,0,0,0,99.3333333333333
2024-06-19,"SFE-M-3","SFE-M","3",0.857142857142857,0,0,0.0714285714285714,99.0714285714286
2024-06-19,"SFE-M-4","SFE-M","4",0.769230769230769,0,0,0.0769230769230769,99.1538461538462
2024-07-02,"SFE-M-1S","SFE-M","1S",4.28571428571429,0.333333333333333,0,0.476190476190476,94.9047619047619
2024-07-02,"SFE-M-2","SFE-M","2",1.53333333333333,0,0,0.933333333333333,97.5333333333333
2024-07-02,"SFE-M-3","SFE-M","3",0.529411764705882,0.117647058823529,0,0.294117647058824,99.0588235294118
2024-07-02,"SFE-M-4","SFE-M","4",0.615384615384615,0,0,0.615384615384615,98.7692307692308
2024-07-17,"SFE-M-1S","SFE-M","1S",15.8,1.33333333333333,0,0.466666666666667,82.4
2024-07-17,"SFE-M-2","SFE-M","2",0.210526315789474,0.368421052631579,0,0.31578947368421,99.1052631578947
2024-07-17,"SFE-M-3","SFE-M","3",0.0588235294117647,1,0,0.176470588235294,98.7647058823529
2024-07-17,"SFE-M-4","SFE-M","4",0.133333333333333,2,0,1,96.8666666666667
2024-07-31,"SFE-M-1S","SFE-M","1S",3.4,1.33333333333333,0,0.466666666666667,94.8
2024-07-31,"SFE-M-2","SFE-M","2",8.10526315789474,3.47368421052632,0,0.842105263157895,87.578947368421
2024-07-31,"SFE-M-3","SFE-M","3",1.88235294117647,2.05882352941176,0.352941176470588,0.176470588235294,95.5294117647059
2024-07-31,"SFE-M-4","SFE-M","4",0.266666666666667,1.86666666666667,0.2,0.266666666666667,97.4
2024-08-14,"SFE-M-1S","SFE-M","1S",6.94736842105263,12.5789473684211,0.210526315789474,0.0526315789473684,80.2105263157895
2024-08-14,"SFE-M-2","SFE-M","2",10.4117647058824,2.17647058823529,0.117647058823529,0.0588235294117647,87.2352941176471
2024-08-14,"SFE-M-3","SFE-M","3",19,12.2666666666667,1.06666666666667,0.133333333333333,67.5333333333333
2024-08-14,"SFE-M-4","SFE-M","4",1.6,7,0,0.0666666666666667,91.3333333333333
2024-08-26,"SFE-M-1S","SFE-M","1S",9.94736842105263,23.6842105263158,3.05263157894737,0.0526315789473684,63.2631578947368
2024-08-26,"SFE-M-2","SFE-M","2",12.4666666666667,2.4,0.0666666666666667,0,85.0666666666667
2024-08-26,"SFE-M-3","SFE-M","3",30.1333333333333,15.8666666666667,3.33333333333333,0,50.6666666666667
2024-08-26,"SFE-M-4","SFE-M","4",4.06666666666667,6.66666666666667,1.06666666666667,0.2,88
2024-09-14,"SFE-M-1S","SFE-M","1S",10.1333333333333,4.06666666666667,0,0,85.8
2024-09-14,"SFE-M-2","SFE-M","2",13.6190476190476,2.0952380952381,0.285714285714286,0,84
2024-09-14,"SFE-M-3","SFE-M","3",10.3333333333333,0.133333333333333,34.3333333333333,0,55.2
2024-09-14,"SFE-M-4","SFE-M","4",1.8,16,0.533333333333333,0,81.6666666666667
2024-09-27,"SFE-M-1S","SFE-M","1S",18.1052631578947,19.421052631579,0,0.210526315789474,62.2631578947368
2024-09-27,"SFE-M-2","SFE-M","2",31.2631578947368,3.05263157894737,0,0.157894736842105,65.5263157894737
2024-09-27,"SFE-M-3","SFE-M","3",44.2666666666667,0,0,0.0666666666666667,55.6666666666667
2024-09-27,"SFE-M-4","SFE-M","4",16.8666666666667,1.66666666666667,0.0666666666666667,0.6,80.8
2024-10-10,"SFE-M-1S","SFE-M","1S",25.9411764705882,9.88235294117647,0,0.411764705882353,63.7647058823529
2024-10-10,"SFE-M-2","SFE-M","2",30.3157894736842,1.94736842105263,0,0.631578947368421,67.1052631578947
2024-10-10,"SFE-M-3","SFE-M","3",47.0666666666667,0,0.533333333333333,0,52.4
2024-10-10,"SFE-M-4","SFE-M","4",15.4,1.66666666666667,0,1.06666666666667,81.8666666666667
