"field_date","analyzed_date","site_reach","site","reach","mat_sampled","method","microcoleus","non_e_diatoms","e_diatoms","other_coccoids","green_algae","anabaena_and_cylindrospermum","gloeotrichia","nostoc","calothrix","leptolyngbya_and_geitlerinema","oscillatoria","scytonema","rivularia_or_early_stage_gloeotrichia","unknown","miscellaneous_oscillatoriales","phormidium_unknown","chroococcus","tolypothrix","nodularia","aphanothece"
2023-08-07,"3/12/24","SFE-M-1S","SFE-M","1S","Microcoleus","preserved",70.2666666666667,3.33333333333333,2.33333333333333,2,4.33333333333333,0.666666666666667,0,0,0.0666666666666667,2,0,0,3.33333333333333,0,0,0,0.666666666666667,0,0,0
2023-08-07,"3/13/24","SFE-M-3","SFE-M","3","Microcoleus","preserved",54.1666666666667,9,10.3333333333333,2.66666666666667,5,1,0,0,1.06666666666667,3.66666666666667,0,0,0,0,0,0,0.1,0,0,0
2023-08-07,"3/13/24","SFE-M-4","SFE-M","4","Microcoleus","preserved",44.6333333333333,4.33333333333333,4.66666666666667,1.66666666666667,2.66666666666667,3.66666666666667,0,0,0,2,0,0,0,0,0,0,0.0333333333333333,0,0,0
2023-08-14,"8/23/23","SFE-M-1S","SFE-M","1S","Microcoleus","live",75.9,3,2,5,10,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
2023-08-14,"8/25/23","SFE-M-3","SFE-M","3","Microcoleus","live",73.9,2,10,1,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-22,"8/30/23","SFE-M-1S","SFE-M","1S","Microcoleus","live",74,1,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-22,"8/31/23","SFE-M-3","SFE-M","3","Microcoleus","live",60,10,10,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023-08-22,"8/31/23","SFE-M-4","SFE-M","4","Microcoleus","live",52,5,8,3,12,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0
2023-08-28,"9/5/23","SFE-M-1S","SFE-M","1S","Microcoleus","live",87,2,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023-08-28,"9/6/23","SFE-M-3","SFE-M","3","Microcoleus","live",78,3,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-04,"9/11/23","SFE-M-1S","SFE-M","1S","Microcoleus","live",77.9,5,1,2,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-04,"9/14/23","SFE-M-3","SFE-M","3","Microcoleus","live",73.9,4,6,2,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-04,"9/14/23","SFE-M-4","SFE-M","4","Microcoleus","live",79.9,2,0.1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-12,"11/17/23","SFE-M-4","SFE-M","4","Microcoleus","preserved",69.3333333333333,4,3.33333333333333,1.33333333333333,7.33333333333333,0,0,0,0,2.33333333333333,0,0,0,0,0,0,0,0,0,0
2023-09-12,"9/19/23","SFE-M-1S","SFE-M","1S","Microcoleus","live",59.9,3,2,2,18,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-12,"9/19/23","SFE-M-3","SFE-M","3","Microcoleus","live",76.9,2,0.1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-18,"9/21/23","SFE-M-1S","SFE-M","1S","Microcoleus","live",64.8,4,6,5,15,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
2023-09-18,"9/26/23","SFE-M-3","SFE-M","3","Microcoleus","live",74.8,2,0.1,5,8,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
2023-09-18,"9/26/23","SFE-M-4","SFE-M","4","Microcoleus","live",69,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-24,"9/28/23","SFE-M-1S","SFE-M","1S","Microcoleus","live",63.9,3,7,2,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-24,"9/28/23","SFE-M-3","SFE-M","3","Microcoleus","live",69.6,6,2,4,8,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0
2023-09-24,"9/28/23","SFE-M-4","SFE-M","4","Microcoleus","live",66.8,15,0.1,1,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-02,"1/24/25","SFE-M-1S","SFE-M","1S","Microcoleus",NA,36.5666666666667,8.33333333333333,0,0,0.333333333333333,0,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-02,"1/28/25","SFE-M-3","SFE-M","3","Microcoleus",NA,49.3333333333333,47.6666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-02,"1/28/25","SFE-M-4","SFE-M","4","Microcoleus",NA,49.9,43.3333333333333,0,0,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"1/30/25","SFE-M-1S","SFE-M","1S","Microcoleus",NA,44.6666666666667,34.3333333333333,0.666666666666667,0.333333333333333,19,0,0,0,0.333333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"2/6/25","SFE-M-3","SFE-M","3","Microcoleus",NA,36.6666666666667,43,0,2,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"2/6/25","SFE-M-4","SFE-M","4","Microcoleus",NA,48.3333333333333,24.6666666666667,0,0.333333333333333,0.666666666666667,0,0,0,0,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,"2/7/25","SFE-M-1S","SFE-M","1S","Microcoleus",NA,60.6666666666667,20,2.66666666666667,0,3,0.333333333333333,0,0,0,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,"2/11/25","SFE-M-3","SFE-M","3","Microcoleus",NA,66.3333333333333,25.3333333333333,0.166666666666667,1.33333333333333,0.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,"2/13/25","SFE-M-4","SFE-M","4","Microcoleus",NA,37.6666666666667,53,0,0,3,0.333333333333333,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-14,"2/25/25","SFE-M-1S","SFE-M","1S","Microcoleus",NA,58.9333333333333,30,1.66666666666667,0.666666666666667,4.66666666666667,0.0666666666666667,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-14,"3/6/25","SFE-M-3","SFE-M","3","Microcoleus",NA,72.0666666666667,15.6666666666667,2,1,7,0.666666666666667,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-14,"3/6/25","SFE-M-4","SFE-M","4","Microcoleus",NA,42.4666666666667,42.6666666666667,1.33333333333333,0.1,2.33333333333333,0.1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-26,"3/12/25","SFE-M-1S","SFE-M","1S","Microcoleus",NA,42.2333333333333,7.66666666666667,9,1,26.6666666666667,1.66666666666667,0,0.666666666666667,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-26,"3/25/25","SFE-M-3","SFE-M","3","Microcoleus",NA,55.3333333333333,24.3333333333333,4.66666666666667,2.33333333333333,6,0.666666666666667,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-26,"3/25/25","SFE-M-4","SFE-M","4","Microcoleus",NA,50,6.66666666666667,10,3,9.66666666666667,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-27,"3/27/25","SFE-M-1S","SFE-M","1S","Microcoleus",NA,38.3333333333333,28,2,4.66666666666667,7.66666666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-10,"3/27/25","SFE-M-1S","SFE-M","1S","Microcoleus",NA,48.3333333333333,30,1.66666666666667,1,6.33333333333333,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-07-14,"11/7/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0.0666666666666667,14.3333333333333,15.3333333333333,2.66666666666667,36.1666666666667,26,0,0.0333333333333333,0,1.66666666666667,0,0,0,0,0,0,0,0,0.0666666666666667,0
2022-07-14,"12/4/23","SFE-M-3","SFE-M","3","Anabaena","preserved",0.7,12,12.3333333333333,8.66666666666667,24.4666666666667,26.3333333333333,0,0.333333333333333,0,4.33333333333333,0,0,0,0.0333333333333333,0.0666666666666667,0,0,0,0.0666666666666667,0
2022-07-14,"11/6/23","SFE-M-4","SFE-M","4","Anabaena","preserved",0.0333333333333333,7.66666666666667,8.66666666666667,2.33333333333333,58.6,15.6666666666667,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,0.0333333333333333,0
2022-07-28,"11/7/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0.1,10,15.3333333333333,1,39.5666666666667,20.3333333333333,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2022-07-28,"11/8/23","SFE-M-3","SFE-M","3","Anabaena","preserved",2,9.33333333333333,10.3333333333333,5,34.5666666666667,24,0,0.333333333333333,0,4.33333333333333,0.1,0,0,0,0,0,0,0,0,0
2022-07-28,"11/8/23","SFE-M-4","SFE-M","4","Anabaena","preserved",1,10.3333333333333,11.3333333333333,6,24.6333333333333,34.6666666666667,0,0,0,4,0.0333333333333333,0,0,0,0,0,0,0,0,0
2022-08-10,"11/9/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",10.3333333333333,5,4.66666666666667,3.66666666666667,11.6666666666667,52.6333333333333,0,0,0,5,0.0333333333333333,0,0,0,0,0,0,0,0,0
2022-08-10,"11/13/23","SFE-M-3","SFE-M","3","Anabaena","preserved",0.4,12.3333333333333,11.6666666666667,7,9.66666666666667,45.6,0,0,0,2.33333333333333,0,0,0,0,0,0,0,0,0,0
2022-08-10,"11/13/23","SFE-M-4","SFE-M","4","Anabaena","preserved",6,9,9.66666666666667,6,24.3333333333333,21.3333333333333,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2022-08-23,"11/20/23","SFE-M-3","SFE-M","3","Anabaena","preserved",0.1,8.33333333333333,9,4,52.8666666666667,15.3333333333333,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0.0333333333333333,0
2022-09-06,"11/28/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0.0333333333333333,16.3333333333333,7.66666666666667,6.33333333333333,29.6333333333333,15.6666666666667,0,7.66666666666667,0,1,0,0,0,0,0,0,0,0,0,0
2022-09-17,"11/30/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0,10.3333333333333,6,6,40.6666666666667,15,0.666666666666667,1.33333333333333,1.66666666666667,4.66666666666667,1.66666666666667,1.33333333333333,0,0,0,0,0,0,0,0
2023-07-10,"12/5/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0,7,4,2.66666666666667,4.33333333333333,55,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2023-07-10,"12/5/23","SFE-M-4","SFE-M","4","Anabaena","preserved",0.0666666666666667,9.66666666666667,8.33333333333333,4.33333333333333,6,35.9333333333333,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0
2023-07-17,"12/5/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0.0333333333333333,8,11.6666666666667,3,23.9666666666667,30.6666666666667,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2023-07-17,"12/6/23","SFE-M-4","SFE-M","4","Anabaena","preserved",0,9.66666666666667,13.3333333333333,6.33333333333333,6,47.3333333333333,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0
2023-07-24,"12/6/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0,9.66666666666667,11.6666666666667,2.33333333333333,25.6666666666667,34.3333333333333,0,0,0,5.66666666666667,0,0,1,0,0,0,0,0,0,0
2023-07-24,"12/7/23","SFE-M-3","SFE-M","3","Anabaena","preserved",0,7.66666666666667,14.3333333333333,7,19,24,0,5,0,4.66666666666667,0,0,2,0,0,0,0,0,0,0
2023-07-24,"12/11/23","SFE-M-4","SFE-M","4","Anabaena","preserved",0.0333333333333333,7,14.3333333333333,5.33333333333333,9.66666666666667,39.5666666666667,0,0,0.0333333333333333,7.33333333333333,0,0,0,0,0.0333333333333333,0,0,0,0,0
2023-07-31,"3/20/24","SFE-M-1S","SFE-M","1S","Anabaena","preserved",6.33333333333333,10.6666666666667,14.6666666666667,3,19,20.9333333333333,0,0,2.66666666666667,8.66666666666667,0,0,0,0,0,0,0.7,0,0.0333333333333333,0
2023-07-31,"3/21/24","SFE-M-3","SFE-M","3","Anabaena","preserved",6.66666666666667,6,12.6666666666667,3,18.6666666666667,28.9333333333333,0,4.33333333333333,0.366666666666667,5.33333333333333,0,0,0,0,0,0.0333333333333333,2.33333333333333,0,0,0
2023-07-31,"3/22/24","SFE-M-4","SFE-M","4","Anabaena","preserved",6.33333333333333,7.66666666666667,21.3333333333333,3.33333333333333,8,31.3,0,0,3.36666666666667,4.66666666666667,0,0,1.33333333333333,0,0,0,0.666666666666667,0,0,0
2023-08-07,"12/12/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",2.33333333333333,6.66666666666667,11,3.33333333333333,12,29.3,0,0,0.0333333333333333,6,0,0,11.6666666666667,0,0,0,0,0,0,0
2023-08-07,"12/12/23","SFE-M-3","SFE-M","3","Anabaena","preserved",2,8.66666666666667,10.6666666666667,4.33333333333333,15,33.6333333333333,0,6.33333333333333,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0
2023-08-07,"12/12/23","SFE-M-4","SFE-M","4","Anabaena","preserved",4.33333333333333,9.33333333333333,9,3.33333333333333,6.33333333333333,45.9,0,0,0,6,0.0666666666666667,0,0,0,0,0,0,0,0.0333333333333333,0
2023-08-14,"12/14/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",8.66666666666667,7.33333333333333,9.33333333333333,3.33333333333333,12.6666666666667,40.9,0,0,0,6.33333333333333,0.1,0,0,0,0,0,0,0,0,0
2023-08-14,"12/14/23","SFE-M-3","SFE-M","3","Anabaena","preserved",5.33333333333333,9.33333333333333,14,12.6666666666667,13.6666666666667,22.5,0,1.66666666666667,0.0666666666666667,6,0.0666666666666667,0,0,0,0,0,0,0,0.0333333333333333,0
2023-08-14,"12/14/23","SFE-M-4","SFE-M","4","Anabaena","preserved",7.33333333333333,8,14.6666666666667,6,21.6333333333333,17.3333333333333,0,0,0,5.33333333333333,0.666666666666667,0,0,0,0.0333333333333333,2.66666666666667,0,0,0,0
2023-08-22,"12/15/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",7.33333333333333,8.33333333333333,8.66666666666667,4.66666666666667,10,27.9666666666667,0,0,0,6,0.0333333333333333,0,1,0,0,0,0,0,0,0
2023-08-22,"12/15/23","SFE-M-3","SFE-M","3","Anabaena","preserved",8.66666666666667,8.66666666666667,15.6666666666667,4.66666666666667,10,31.9666666666667,0,0,0,6,0,0,0,0,0,0,0,0,0.0333333333333333,0
2023-08-22,"12/18/23","SFE-M-4","SFE-M","4","Anabaena","preserved",2.33333333333333,7.66666666666667,10.6666666666667,4.33333333333333,8.66666666666667,44.9666666666667,0,0,0.0333333333333333,3.66666666666667,1,0,0,0,0,7,0,0,0,0
2023-08-28,"12/18/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",10.3333333333333,4.66666666666667,7.33333333333333,5,21.3333333333333,36,0,0,0,4,0,0,0,0,0,0.333333333333333,0,0,0,0
2023-08-28,"12/18/23","SFE-M-3","SFE-M","3","Anabaena","preserved",4.66666666666667,8.66666666666667,13.3333333333333,6.66666666666667,11,21.6666666666667,0,1.66666666666667,0,10.3333333333333,0,0,0,0,0,0,0,0,0,0
2023-09-04,"12/19/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",1,4.66666666666667,7,3.66666666666667,7.33333333333333,59.3333333333333,0,0,0,3.33333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
2023-09-12,"12/20/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0.0666666666666667,4.33333333333333,3,5,7.33333333333333,41.5666666666667,0,0,0,5.66666666666667,0,0,13,0,0.0333333333333333,0,0,0,0,0
2023-09-18,"12/20/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0,4.33333333333333,2.66666666666667,4,2.33333333333333,64.6333333333333,0,0,0,7.33333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0
2023-09-24,"12/21/23","SFE-M-1S","SFE-M","1S","Anabaena","preserved",0.0333333333333333,4.66666666666667,4,5,3.33333333333333,61.2666666666667,0,0,0,6.66666666666667,0.0333333333333333,0,0,0,0,0,0,0,0,0
2024-07-17,"1/30/25","SFE-M-1S","SFE-M","1S","Anabaena",NA,0,21,0.666666666666667,2.33333333333333,35,35.2333333333333,0.1,0,0,5.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,"3/27/25","SFE-M-1S","SFE-M","1S","Anabaena",NA,0,8,4.33333333333333,2,15,66.5666666666667,0.1,1,0.333333333333333,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,"2/11/25","SFE-M-3","SFE-M","3","Anabaena",NA,0,6,14,0.1,32,30.9,0,0,0,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-31,"2/13/25","SFE-M-4","SFE-M","4","Anabaena",NA,0,4,1,0.1,2.66666666666667,56.5666666666667,0,20,0.666666666666667,12.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-14,"2/25/25","SFE-M-1S","SFE-M","1S","Anabaena",NA,0.1,9.66666666666667,4.33333333333333,1,14.3333333333333,59.4666666666667,0.1,0,0,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-14,"3/6/25","SFE-M-3","SFE-M","3","Anabaena",NA,0.166666666666667,9,4,2,55.6666666666667,25.5,0,0,0.166666666666667,2.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-14,"3/6/25","SFE-M-4","SFE-M","4","Anabaena",NA,0.1,8.66666666666667,1.66666666666667,2.66666666666667,4.66666666666667,66.8,0,0,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-26,"3/12/25","SFE-M-1S","SFE-M","1S","Anabaena",NA,0.1,4.66666666666667,11.6666666666667,5.66666666666667,30,40.4666666666667,0.1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-26,"3/25/25","SFE-M-3","SFE-M","3","Anabaena",NA,0.1,9.66666666666667,11.6666666666667,4,30,44.2333333333333,0,0,0,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-26,"3/25/25","SFE-M-4","SFE-M","4","Anabaena",NA,0.1,7,4,10,3.33333333333333,65.5666666666667,0,0,0,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
