date,site,Mat,Species,percent_comp
7/31/24,1S,Microcoleus,Bacteroidetes,1.16264428121721%
7/31/24,2,Microcoleus,Bacteroidetes,0.00000000000000%
7/31/24,3,Microcoleus,Bacteroidetes,0.92866854423619%
7/31/24,3,Microcoleus,Bacteroidetes,0.78805907833620%
7/31/24,4,Microcoleus,Bacteroidetes,1.16109255483740%
8/14/24,1S,Microcoleus,Bacteroidetes,1.22567271117194%
8/14/24,2,Microcoleus,Bacteroidetes,0.58682315284076%
8/14/24,3,Microcoleus,Bacteroidetes,0.72671727457878%
8/14/24,4,Microcoleus,Bacteroidetes,0.58672676406590%
8/26/24,1S,Microcoleus,Bacteroidetes,0.49318247751668%
8/26/24,2,Microcoleus,Bacteroidetes,0.67055468489068%
8/26/24,3,Microcoleus,Bacteroidetes,0.66959525738901%
8/26/24,4,Microcoleus,Bacteroidetes,0.26720710486911%
9/14/24,1S,Microcoleus,Bacteroidetes,0.20832198681989%
9/14/24,2,Microcoleus,Bacteroidetes,1.36327308496250%
9/14/24,3,Microcoleus,Bacteroidetes,2.35844706750277%
9/14/24,4,Microcoleus,Bacteroidetes,1.50610415153180%
9/27/24,1S,Microcoleus,Bacteroidetes,2.13499003763560%
9/27/24,2,Microcoleus,Bacteroidetes,2.46217701541102%
9/27/24,4,Microcoleus,Bacteroidetes,0.94555184750910%
10/10/24,1S,Microcoleus,Bacteroidetes,2.33407560286770%
10/10/24,2,Microcoleus,Bacteroidetes,2.29336065048979%
10/10/24,4,Microcoleus,Bacteroidetes,0.14556221851751%
6/19/24,1S,Microcoleus,Bacteroidales,0.74018149250196%
6/19/24,3,Microcoleus,Bacteroidales,1.28766586051376%
6/19/24,4,Microcoleus,Bacteroidales,1.27414823789426%
7/2/24,1S,Microcoleus,Bacteroidales,0.15343944687852%
7/2/24,2,Microcoleus,Bacteroidales,0.41450318621666%
7/2/24,3,Microcoleus,Bacteroidales,0.83323821481566%
7/2/24,4,Microcoleus,Bacteroidales,0.49099577110094%
7/17/24,1S,Microcoleus,Bacteroidales,1.70222452670317%
7/17/24,2,Microcoleus,Bacteroidales,2.00397379777095%
7/17/24,3,Microcoleus,Bacteroidales,0.60545426319149%
7/17/24,3,Microcoleus,Bacteroidales,1.02082751138362%
7/17/24,4,Microcoleus,Bacteroidales,0.63768755516328%
7/31/24,1S,Microcoleus,Bacteroidales,1.21161245190626%
7/31/24,2,Microcoleus,Bacteroidales,0.00000000000000%
7/31/24,3,Microcoleus,Bacteroidales,0.68102359910654%
7/31/24,3,Microcoleus,Bacteroidales,0.82720108553833%
7/31/24,4,Microcoleus,Bacteroidales,0.76779594846658%
8/14/24,1S,Microcoleus,Bacteroidales,2.77336124137098%
8/14/24,2,Microcoleus,Bacteroidales,0.85356094958656%
8/14/24,3,Microcoleus,Bacteroidales,1.63241375054002%
8/14/24,4,Microcoleus,Bacteroidales,1.18705315511346%
8/26/24,1S,Microcoleus,Bacteroidales,1.40167651504741%
8/26/24,2,Microcoleus,Bacteroidales,1.09446856614341%
8/26/24,3,Microcoleus,Bacteroidales,1.11741374163006%
8/26/24,4,Microcoleus,Bacteroidales,1.05333815252750%
9/14/24,1S,Microcoleus,Bacteroidales,0.32541800555525%
9/14/24,2,Microcoleus,Bacteroidales,0.57942948481495%
9/14/24,3,Microcoleus,Bacteroidales,1.97574695684249%
9/14/24,4,Microcoleus,Bacteroidales,3.00334886687811%
9/27/24,1S,Microcoleus,Bacteroidales,1.15120655302192%
9/27/24,2,Microcoleus,Bacteroidales,0.56878594944979%
9/27/24,4,Microcoleus,Bacteroidales,0.43895252698355%
10/10/24,1S,Microcoleus,Bacteroidales,0.50103193569411%
10/10/24,2,Microcoleus,Bacteroidales,0.80030731801012%
10/10/24,4,Microcoleus,Bacteroidales,0.22020951006494%
6/19/24,1S,Microcoleus,Paludibacter,0.00000000000000%
6/19/24,3,Microcoleus,Paludibacter,0.00000000000000%
6/19/24,4,Microcoleus,Paludibacter,0.00399419510312%
7/2/24,1S,Microcoleus,Paludibacter,0.00000000000000%
7/2/24,2,Microcoleus,Paludibacter,0.00442530092046%
7/2/24,3,Microcoleus,Paludibacter,0.00000000000000%
7/2/24,4,Microcoleus,Paludibacter,0.00475157197840%
7/17/24,1S,Microcoleus,Paludibacter,0.00505861672126%
7/17/24,2,Microcoleus,Paludibacter,0.00000000000000%
7/17/24,3,Microcoleus,Paludibacter,0.00000000000000%
7/17/24,3,Microcoleus,Paludibacter,0.00000000000000%
7/17/24,4,Microcoleus,Paludibacter,0.02427184466019%
7/31/24,1S,Microcoleus,Paludibacter,0.03217908359566%
7/31/24,2,Microcoleus,Paludibacter,0.00000000000000%
7/31/24,3,Microcoleus,Paludibacter,0.02670680780810%
7/31/24,3,Microcoleus,Paludibacter,0.01304733573404%
7/31/24,4,Microcoleus,Paludibacter,0.08241877412918%
8/14/24,1S,Microcoleus,Paludibacter,0.45685994324471%
8/14/24,2,Microcoleus,Paludibacter,4.04274473192851%
8/14/24,3,Microcoleus,Paludibacter,0.30549898167006%
8/14/24,4,Microcoleus,Paludibacter,0.05051290021759%
8/26/24,1S,Microcoleus,Paludibacter,0.03817201838364%
8/26/24,2,Microcoleus,Paludibacter,0.00000000000000%
8/26/24,3,Microcoleus,Paludibacter,0.02558962767092%
8/26/24,4,Microcoleus,Paludibacter,0.00516342231631%
9/14/24,1S,Microcoleus,Paludibacter,0.01906214258483%
9/14/24,2,Microcoleus,Paludibacter,0.00000000000000%
9/14/24,3,Microcoleus,Paludibacter,0.01613795647363%
9/14/24,4,Microcoleus,Paludibacter,0.00000000000000%
9/27/24,1S,Microcoleus,Paludibacter,0.00000000000000%
9/27/24,2,Microcoleus,Paludibacter,0.00384314830709%
9/27/24,4,Microcoleus,Paludibacter,0.01352935870840%
10/10/24,1S,Microcoleus,Paludibacter,0.01493591136216%
10/10/24,2,Microcoleus,Paludibacter,0.01280491708816%
10/10/24,4,Microcoleus,Paludibacter,0.00497648610316%
6/19/24,1S,Microcoleus,Runella,0.00000000000000%
6/19/24,3,Microcoleus,Runella,0.00000000000000%
6/19/24,4,Microcoleus,Runella,0.00532559347082%
7/2/24,1S,Microcoleus,Runella,0.31612223393045%
7/2/24,2,Microcoleus,Runella,0.01032570214775%
7/2/24,3,Microcoleus,Runella,0.06658296237111%
7/2/24,4,Microcoleus,Runella,0.72382279804235%
7/17/24,1S,Microcoleus,Runella,0.08093786754012%
7/17/24,2,Microcoleus,Runella,0.01397038278849%
7/17/24,3,Microcoleus,Runella,0.05692305038552%
7/17/24,3,Microcoleus,Runella,0.03123304785232%
7/17/24,4,Microcoleus,Runella,0.00882612533098%
7/31/24,1S,Microcoleus,Runella,0.32738719832109%
7/31/24,2,Microcoleus,Runella,0.00000000000000%
7/31/24,3,Microcoleus,Runella,0.16631057589589%
7/31/24,3,Microcoleus,Runella,0.33140232764470%
7/31/24,4,Microcoleus,Runella,0.01301349065198%
8/14/24,1S,Microcoleus,Runella,1.86366655261940%
8/14/24,2,Microcoleus,Runella,1.72879434515871%
8/14/24,3,Microcoleus,Runella,2.09837684379436%
8/14/24,4,Microcoleus,Runella,0.83540565744482%
8/26/24,1S,Microcoleus,Runella,0.88711770723589%
8/26/24,2,Microcoleus,Runella,0.64229375947383%
8/26/24,3,Microcoleus,Runella,1.08116176909626%
8/26/24,4,Microcoleus,Runella,0.56023132131977%
9/14/24,1S,Microcoleus,Runella,1.78911823974729%
9/14/24,2,Microcoleus,Runella,2.39917619574573%
9/14/24,3,Microcoleus,Runella,2.72270379933604%
9/14/24,4,Microcoleus,Runella,0.65205450325141%
9/27/24,1S,Microcoleus,Runella,0.52440779278282%
9/27/24,2,Microcoleus,Runella,1.03252584517237%
9/27/24,4,Microcoleus,Runella,0.33823396770993%
10/10/24,1S,Microcoleus,Runella,2.68303280469259%
10/10/24,2,Microcoleus,Runella,1.73378577373712%
10/10/24,4,Microcoleus,Runella,1.87862350394387%
6/19/24,1S,Microcoleus,Flavobacterium,1.72166215155956%
6/19/24,3,Microcoleus,Flavobacterium,1.73867573043990%
6/19/24,4,Microcoleus,Flavobacterium,2.14488277037372%
7/2/24,1S,Microcoleus,Flavobacterium,0.82265727543305%
7/2/24,2,Microcoleus,Flavobacterium,2.44571630870899%
7/2/24,3,Microcoleus,Flavobacterium,2.17250694365179%
7/2/24,4,Microcoleus,Flavobacterium,1.33519172592933%
7/17/24,1S,Microcoleus,Flavobacterium,0.36169109556992%
7/17/24,2,Microcoleus,Flavobacterium,0.96550867715998%
7/17/24,3,Microcoleus,Flavobacterium,0.82624670105049%
7/17/24,3,Microcoleus,Flavobacterium,1.41041868722568%
7/17/24,4,Microcoleus,Flavobacterium,1.21138570167696%
7/31/24,1S,Microcoleus,Flavobacterium,0.22385449457852%
7/31/24,2,Microcoleus,Flavobacterium,0.00000000000000%
7/31/24,3,Microcoleus,Flavobacterium,0.75264640186462%
7/31/24,3,Microcoleus,Flavobacterium,0.43317154637023%
7/31/24,4,Microcoleus,Flavobacterium,0.77068783527813%
8/14/24,1S,Microcoleus,Flavobacterium,0.26163785295953%
8/14/24,2,Microcoleus,Flavobacterium,0.26840490797546%
8/14/24,3,Microcoleus,Flavobacterium,0.79460593717213%
8/14/24,4,Microcoleus,Flavobacterium,1.02968604289711%
8/26/24,1S,Microcoleus,Flavobacterium,1.51008504725696%
8/26/24,2,Microcoleus,Flavobacterium,1.43359967114560%
8/26/24,3,Microcoleus,Flavobacterium,0.80394080266132%
8/26/24,4,Microcoleus,Flavobacterium,0.19621004801983%
9/14/24,1S,Microcoleus,Flavobacterium,0.93812973149611%
9/14/24,2,Microcoleus,Flavobacterium,0.33966556006394%
9/14/24,3,Microcoleus,Flavobacterium,1.05818886019919%
9/14/24,4,Microcoleus,Flavobacterium,1.15349859134965%
9/27/24,1S,Microcoleus,Flavobacterium,0.74579366836396%
9/27/24,2,Microcoleus,Flavobacterium,0.27798772754641%
9/27/24,4,Microcoleus,Flavobacterium,0.48705691350230%
10/10/24,1S,Microcoleus,Flavobacterium,1.12969802302846%
10/10/24,2,Microcoleus,Flavobacterium,0.66457519687560%
10/10/24,4,Microcoleus,Flavobacterium,0.27121849262236%
6/19/24,1S,Microcoleus,Sphingobacteriaceae,0.01480362985004%
6/19/24,3,Microcoleus,Sphingobacteriaceae,0.00000000000000%
6/19/24,4,Microcoleus,Sphingobacteriaceae,0.00000000000000%
7/2/24,1S,Microcoleus,Sphingobacteriaceae,0.00924334017341%
7/2/24,2,Microcoleus,Sphingobacteriaceae,0.03835260797734%
7/2/24,3,Microcoleus,Sphingobacteriaceae,0.02473081459499%
7/2/24,4,Microcoleus,Sphingobacteriaceae,0.07760900898047%
7/17/24,1S,Microcoleus,Sphingobacteriaceae,0.54000733499425%
7/17/24,2,Microcoleus,Sphingobacteriaceae,0.50138151563131%
7/17/24,3,Microcoleus,Sphingobacteriaceae,0.14317009642420%
7/17/24,3,Microcoleus,Sphingobacteriaceae,0.17917906399487%
7/17/24,4,Microcoleus,Sphingobacteriaceae,0.33980582524272%
7/31/24,1S,Microcoleus,Sphingobacteriaceae,0.24064358167191%
7/31/24,2,Microcoleus,Sphingobacteriaceae,1.32789830040072%
7/31/24,3,Microcoleus,Sphingobacteriaceae,0.43580654559581%
7/31/24,3,Microcoleus,Sphingobacteriaceae,0.38098220343406%
7/31/24,4,Microcoleus,Sphingobacteriaceae,0.40486415361703%
8/14/24,1S,Microcoleus,Sphingobacteriaceae,1.05057660957595%
8/14/24,2,Microcoleus,Sphingobacteriaceae,0.85022672712723%
8/14/24,3,Microcoleus,Sphingobacteriaceae,1.33308646546936%
8/14/24,4,Microcoleus,Sphingobacteriaceae,1.01802921976997%
8/26/24,1S,Microcoleus,Sphingobacteriaceae,0.56189211060724%
8/26/24,2,Microcoleus,Sphingobacteriaceae,0.44703645659379%
8/26/24,3,Microcoleus,Sphingobacteriaceae,0.99799547916578%
8/26/24,4,Microcoleus,Sphingobacteriaceae,0.14844839159395%
9/14/24,1S,Microcoleus,Sphingobacteriaceae,0.05854800936768%
9/14/24,2,Microcoleus,Sphingobacteriaceae,1.17269150375015%
9/14/24,3,Microcoleus,Sphingobacteriaceae,1.16193286610107%
9/14/24,4,Microcoleus,Sphingobacteriaceae,0.60244166061272%
9/27/24,1S,Microcoleus,Sphingobacteriaceae,0.24352446313925%
9/27/24,2,Microcoleus,Sphingobacteriaceae,0.44068100588002%
9/27/24,4,Microcoleus,Sphingobacteriaceae,0.20594690478338%
10/10/24,1S,Microcoleus,Sphingobacteriaceae,0.30279165761460%
10/10/24,2,Microcoleus,Sphingobacteriaceae,0.37902554580959%
10/10/24,4,Microcoleus,Sphingobacteriaceae,0.01741770136107%
6/19/24,1S,Microcoleus,Chitinophagaceae,0.33012094565588%
6/19/24,3,Microcoleus,Chitinophagaceae,0.33335512124976%
6/19/24,4,Microcoleus,Chitinophagaceae,0.51658256666977%
7/2/24,1S,Microcoleus,Chitinophagaceae,0.66182315641580%
7/2/24,2,Microcoleus,Chitinophagaceae,0.50300920462592%
7/2/24,3,Microcoleus,Chitinophagaceae,0.61446562416771%
7/2/24,4,Microcoleus,Chitinophagaceae,0.41655447677273%
7/17/24,1S,Microcoleus,Chitinophagaceae,1.06230951146409%
7/17/24,2,Microcoleus,Chitinophagaceae,1.12228741734190%
7/17/24,3,Microcoleus,Chitinophagaceae,0.53645662636055%
7/17/24,3,Microcoleus,Chitinophagaceae,0.94849834793615%
7/17/24,4,Microcoleus,Chitinophagaceae,0.78773168578994%
7/31/24,1S,Microcoleus,Chitinophagaceae,4.15110178384050%
7/31/24,2,Microcoleus,Chitinophagaceae,1.28644465938925%
7/31/24,3,Microcoleus,Chitinophagaceae,1.27585704574148%
7/31/24,3,Microcoleus,Chitinophagaceae,1.34648504775325%
7/31/24,4,Microcoleus,Chitinophagaceae,1.46474067005017%
8/14/24,1S,Microcoleus,Chitinophagaceae,3.21412039366434%
8/14/24,2,Microcoleus,Chitinophagaceae,1.11363030141371%
8/14/24,3,Microcoleus,Chitinophagaceae,1.63704252298957%
8/14/24,4,Microcoleus,Chitinophagaceae,1.96806030463164%
8/26/24,1S,Microcoleus,Chitinophagaceae,0.98331119356267%
8/26/24,2,Microcoleus,Chitinophagaceae,0.73863782339491%
8/26/24,3,Microcoleus,Chitinophagaceae,0.92549153409818%
8/26/24,4,Microcoleus,Chitinophagaceae,0.55506789900346%
9/14/24,1S,Microcoleus,Chitinophagaceae,0.38260443330973%
9/14/24,2,Microcoleus,Chitinophagaceae,0.77923275544080%
9/14/24,3,Microcoleus,Chitinophagaceae,1.69218000737735%
9/14/24,4,Microcoleus,Chitinophagaceae,0.82392756524975%
9/27/24,1S,Microcoleus,Chitinophagaceae,0.21585122869161%
9/27/24,2,Microcoleus,Chitinophagaceae,0.20240581084024%
9/27/24,4,Microcoleus,Chitinophagaceae,0.10372508343105%
10/10/24,1S,Microcoleus,Chitinophagaceae,0.16293721485987%
10/10/24,2,Microcoleus,Chitinophagaceae,0.14213457967860%
10/10/24,4,Microcoleus,Chitinophagaceae,0.09579735748588%
6/19/24,1S,Microcoleus,Stramenopiles,1.74386759633462%
6/19/24,3,Microcoleus,Stramenopiles,2.79266618733251%
6/19/24,4,Microcoleus,Stramenopiles,1.90256826745130%
7/2/24,1S,Microcoleus,Stramenopiles,3.29802377387093%
7/2/24,2,Microcoleus,Stramenopiles,5.76911729997640%
7/2/24,3,Microcoleus,Stramenopiles,7.43446334132329%
7/2/24,4,Microcoleus,Stramenopiles,2.22848725786781%
7/17/24,1S,Microcoleus,Stramenopiles,2.89605807291996%
7/17/24,2,Microcoleus,Stramenopiles,5.09298065878116%
7/17/24,3,Microcoleus,Stramenopiles,2.20102461490694%
7/17/24,3,Microcoleus,Stramenopiles,4.89372544507093%
7/17/24,4,Microcoleus,Stramenopiles,3.90997352162401%
7/31/24,1S,Microcoleus,Stramenopiles,1.07030430220357%
7/31/24,2,Microcoleus,Stramenopiles,1.45087743540141%
7/31/24,3,Microcoleus,Stramenopiles,2.00058269398854%
7/31/24,3,Microcoleus,Stramenopiles,1.43259746359793%
7/31/24,4,Microcoleus,Stramenopiles,1.22326812128573%
8/14/24,1S,Microcoleus,Stramenopiles,2.07901463159378%
8/14/24,2,Microcoleus,Stramenopiles,1.13530274739931%
8/14/24,3,Microcoleus,Stramenopiles,2.44862062581004%
8/14/24,4,Microcoleus,Stramenopiles,1.38327634442027%
8/26/24,1S,Microcoleus,Stramenopiles,9.71248835753439%
8/26/24,2,Microcoleus,Stramenopiles,3.29882074865761%
8/26/24,3,Microcoleus,Stramenopiles,5.06887874781422%
8/26/24,4,Microcoleus,Stramenopiles,0.78871275881654%
9/14/24,1S,Microcoleus,Stramenopiles,0.06671749904689%
9/14/24,2,Microcoleus,Stramenopiles,1.22802164023116%
9/14/24,3,Microcoleus,Stramenopiles,2.77803393581704%
9/14/24,4,Microcoleus,Stramenopiles,4.88332122543721%
9/27/24,1S,Microcoleus,Stramenopiles,8.13039628071729%
9/27/24,2,Microcoleus,Stramenopiles,3.07579969511023%
9/27/24,4,Microcoleus,Stramenopiles,3.67697904452662%
10/10/24,1S,Microcoleus,Stramenopiles,2.14805561590267%
10/10/24,2,Microcoleus,Stramenopiles,3.44068122158909%
10/10/24,4,Microcoleus,Stramenopiles,0.28988031550922%
6/19/24,1S,Microcoleus,Phormidium,83.32815206288580%
6/19/24,3,Microcoleus,Phormidium,80.09183606771680%
6/19/24,4,Microcoleus,Phormidium,77.71505412134370%
7/2/24,1S,Microcoleus,Phormidium,81.76473850590650%
7/2/24,2,Microcoleus,Phormidium,74.16951852725990%
7/2/24,3,Microcoleus,Phormidium,68.48913746528170%
7/2/24,4,Microcoleus,Phormidium,79.49696691322050%
7/17/24,1S,Microcoleus,Phormidium,76.06768429173040%
7/17/24,2,Microcoleus,Phormidium,64.66114060414140%
7/17/24,3,Microcoleus,Phormidium,79.67847101236780%
7/17/24,3,Microcoleus,Phormidium,72.39656107704700%
7/17/24,4,Microcoleus,Phormidium,73.30979699911740%
7/31/24,1S,Microcoleus,Phormidium,82.98146204966770%
7/31/24,2,Microcoleus,Phormidium,76.48196766616000%
7/31/24,3,Microcoleus,Phormidium,81.97169078372340%
7/31/24,3,Microcoleus,Phormidium,83.99352852147590%
7/31/24,4,Microcoleus,Phormidium,80.02284590581120%
8/14/24,1S,Microcoleus,Phormidium,61.71433171654560%
8/14/24,2,Microcoleus,Phormidium,71.50906908508940%
8/14/24,3,Microcoleus,Phormidium,69.21249151391720%
8/14/24,4,Microcoleus,Phormidium,65.31317998134910%
8/26/24,1S,Microcoleus,Phormidium,62.43262638755290%
8/26/24,2,Microcoleus,Phormidium,75.35518844898900%
8/26/24,3,Microcoleus,Phormidium,73.51047042265530%
8/26/24,4,Microcoleus,Phormidium,83.44735890948520%
9/14/24,1S,Microcoleus,Phormidium,74.77942377866130%
9/14/24,2,Microcoleus,Phormidium,81.14164514939140%
9/14/24,3,Microcoleus,Phormidium,56.60042419771300%
9/14/24,4,Microcoleus,Phormidium,68.39839112638870%
9/27/24,1S,Microcoleus,Phormidium,72.49972326765550%
9/27/24,2,Microcoleus,Phormidium,82.38044606141350%
9/27/24,4,Microcoleus,Phormidium,84.59156369321430%
10/10/24,1S,Microcoleus,Phormidium,73.66798826852050%
10/10/24,2,Microcoleus,Phormidium,75.14309494846020%
10/10/24,4,Microcoleus,Phormidium,77.99397845181520%
6/19/24,1S,Microcoleus,Rhodobacter,1.94667732528016%
6/19/24,3,Microcoleus,Rhodobacter,2.72403425060461%
6/19/24,4,Microcoleus,Rhodobacter,3.55616504014166%
7/2/24,1S,Microcoleus,Rhodobacter,6.51470615421589%
7/2/24,2,Microcoleus,Rhodobacter,2.99445362284635%
7/2/24,3,Microcoleus,Rhodobacter,4.28223566563939%
7/2/24,4,Microcoleus,Rhodobacter,3.83610244389185%
7/17/24,1S,Microcoleus,Rhodobacter,4.81074450191595%
7/17/24,2,Microcoleus,Rhodobacter,7.06590916146658%
7/17/24,3,Microcoleus,Rhodobacter,4.98335432011454%
7/17/24,3,Microcoleus,Rhodobacter,5.72715466934065%
7/17/24,4,Microcoleus,Rhodobacter,4.56972639011474%
7/31/24,1S,Microcoleus,Rhodobacter,1.14585519412382%
7/31/24,2,Microcoleus,Rhodobacter,3.22785684675971%
7/31/24,3,Microcoleus,Rhodobacter,2.80664271146936%
7/31/24,3,Microcoleus,Rhodobacter,2.25197014769584%
7/31/24,4,Microcoleus,Rhodobacter,3.49918304197574%
8/14/24,1S,Microcoleus,Rhodobacter,5.53665948839737%
8/14/24,2,Microcoleus,Rhodobacter,4.52453987730061%
8/14/24,3,Microcoleus,Rhodobacter,5.00524594210949%
8/14/24,4,Microcoleus,Rhodobacter,9.32351569785514%
8/26/24,1S,Microcoleus,Rhodobacter,4.20350266440688%
8/26/24,2,Microcoleus,Rhodobacter,4.05415820979883%
8/26/24,3,Microcoleus,Rhodobacter,2.97479421674415%
8/26/24,4,Microcoleus,Rhodobacter,5.40610316517788%
9/14/24,1S,Microcoleus,Rhodobacter,6.84603235117913%
9/14/24,2,Microcoleus,Rhodobacter,3.16150252059511%
9/14/24,3,Microcoleus,Rhodobacter,10.96458871265220%
9/14/24,4,Microcoleus,Rhodobacter,5.45209702854510%
9/27/24,1S,Microcoleus,Rhodobacter,2.91260792561435%
9/27/24,2,Microcoleus,Rhodobacter,2.74913208900731%
9/27/24,4,Microcoleus,Rhodobacter,2.26391269053847%
10/10/24,1S,Microcoleus,Rhodobacter,6.31245926569629%
10/10/24,2,Microcoleus,Rhodobacter,4.43178180421282%
10/10/24,4,Microcoleus,Rhodobacter,7.57421184901341%
6/19/24,1S,Microcoleus,Sphingomonadales,1.20057438083818%
6/19/24,3,Microcoleus,Sphingomonadales,1.30890907902477%
6/19/24,4,Microcoleus,Sphingomonadales,1.48983477346257%
7/2/24,1S,Microcoleus,Sphingomonadales,0.57308709075111%
7/2/24,2,Microcoleus,Sphingomonadales,0.69182204389899%
7/2/24,3,Microcoleus,Sphingomonadales,0.51363999543431%
7/2/24,4,Microcoleus,Sphingomonadales,0.65888464767094%
7/17/24,1S,Microcoleus,Sphingomonadales,0.82455452556498%
7/17/24,2,Microcoleus,Sphingomonadales,1.39393374934029%
7/17/24,3,Microcoleus,Sphingomonadales,1.55589671053766%
7/17/24,3,Microcoleus,Sphingomonadales,1.84110597866290%
7/17/24,4,Microcoleus,Sphingomonadales,1.86231244483672%
7/31/24,1S,Microcoleus,Sphingomonadales,0.13431269674711%
7/31/24,2,Microcoleus,Sphingomonadales,0.00000000000000%
7/31/24,3,Microcoleus,Sphingomonadales,0.47708070311741%
7/31/24,3,Microcoleus,Sphingomonadales,0.32357392620427%
7/31/24,4,Microcoleus,Sphingomonadales,0.84732283578421%
8/14/24,1S,Microcoleus,Sphingomonadales,0.23346146879466%
8/14/24,2,Microcoleus,Sphingomonadales,0.24006401707122%
8/14/24,3,Microcoleus,Sphingomonadales,0.41967536875887%
8/14/24,4,Microcoleus,Sphingomonadales,0.66249611439229%
8/26/24,1S,Microcoleus,Sphingomonadales,0.36645137648298%
8/26/24,2,Microcoleus,Sphingomonadales,0.44832104411274%
8/26/24,3,Microcoleus,Sphingomonadales,0.29001578027040%
8/26/24,4,Microcoleus,Sphingomonadales,0.35627613982548%
9/14/24,1S,Microcoleus,Sphingomonadales,1.49365502968248%
9/14/24,2,Microcoleus,Sphingomonadales,0.35964588712652%
9/14/24,3,Microcoleus,Sphingomonadales,1.15501659904094%
9/14/24,4,Microcoleus,Sphingomonadales,0.34020234952248%
9/27/24,1S,Microcoleus,Sphingomonadales,0.20893292007970%
9/27/24,2,Microcoleus,Sphingomonadales,0.15500698171943%
9/27/24,4,Microcoleus,Sphingomonadales,0.05862722106972%
10/10/24,1S,Microcoleus,Sphingomonadales,0.75358461872692%
10/10/24,2,Microcoleus,Sphingomonadales,0.48786734105897%
10/10/24,4,Microcoleus,Sphingomonadales,0.68302271765906%
6/19/24,1S,Microcoleus,Comamonadaceae,1.20353510680819%
6/19/24,3,Microcoleus,Comamonadaceae,1.53931629518269%
6/19/24,4,Microcoleus,Comamonadaceae,1.74945745516516%
7/2/24,1S,Microcoleus,Comamonadaceae,0.42149631190727%
7/2/24,2,Microcoleus,Comamonadaceae,3.07263393910786%
7/2/24,3,Microcoleus,Comamonadaceae,3.24354145265000%
7/2/24,4,Microcoleus,Comamonadaceae,1.84836149959612%
7/17/24,1S,Microcoleus,Comamonadaceae,0.43630569220847%
7/17/24,2,Microcoleus,Comamonadaceae,0.80717767222377%
7/17/24,3,Microcoleus,Comamonadaceae,0.54163144912287%
7/17/24,3,Microcoleus,Comamonadaceae,0.82356615652689%
7/17/24,4,Microcoleus,Comamonadaceae,1.39232127096205%
7/31/24,1S,Microcoleus,Comamonadaceae,0.23644630989857%
7/31/24,2,Microcoleus,Comamonadaceae,0.00000000000000%
7/31/24,3,Microcoleus,Comamonadaceae,0.75993007672138%
