field_date,site_reach,sample_type,slide_rep,date_analyzed,method,microcoleus,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,anabaena_and_cylindrospermum,geitlerinema,gloeotrichia,nostoc,calothrix,oscillatoria,scytonema,rivularia,unknown,lyngbya,phormidium_unknown,leptolyngbya,chroococcus,tolypothrix,nodularia,homoeothrix,aphanothece
6/29/22,SFE-M-3,TM,Final,10/24/23,preserved,77,3,4,6,1,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/22,SFE-M-3,TM,Final,10/23/23,preserved,62,7,10,5,2,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/22,SFE-M-3,TM,Final,10/25/23,preserved,54,2,8,12,3,10,5,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
8/10/22,SFE-M-3,TM,Final,10/26/23,preserved,70,2,3,7,5,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/23/22,SFE-M-3,TM,Final,10/31/23,preserved,80,5,3,5,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/22,SFE-M-3,TM,Final,10/31/23,preserved,78,6,2,3,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/22,SFE-M-3,TM,Final,11/1/23,preserved,69,12,5,5,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/22,SFE-M-4,TM,Final,10/25/23,preserved,54,2,11,5,3,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
8/10/22,SFE-M-4,TM,Final,10/25/23,preserved,33.8,6,4,25,3,7,10,5,0,1,0,0.1,0,0,0,0.1,0,5,0,0,0,0,0
8/23/22,SFE-M-4,TM,Final,10/31/23,preserved,58.9,6,4,8,5,12,1,2,0,0,0,3,0,0,0,0,0,0,0.1,0,0,0,0
7/13/23,SAL-1S,TM,1,3/14/24,preserved,15,81.7,3,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,SAL-1S,TM,2,3/14/24,preserved,20,71.8,7,0,0.1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,SAL-1S,TM,3,3/14/24,preserved,30,57.8,10,0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
7/27/23,SAL-1S,TM,1,3/15/24,preserved,40,51.9,6,0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,SAL-1S,TM,2,3/15/24,preserved,41,51.9,5,0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/27/23,SAL-1S,TM,3,3/15/24,preserved,38,47.9,10,0,0.1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/10/23,SAL-1S,TM,Final,8/15/23,live,79.9,15,4,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,SAL-2,TM,1,3/14/24,preserved,15,77.9,5,0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,SAL-2,TM,2,3/14/24,preserved,25,62.7,12,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,SAL-2,TM,3,3/14/24,preserved,35,52.8,10,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/27/23,SAL-2,TM,1,3/15/24,preserved,50.8,40,7,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/27/23,SAL-2,TM,2,3/15/24,preserved,43.9,45,8,0,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/27/23,SAL-2,TM,3,3/15/24,preserved,38.7,46,10,0,0.1,0.1,0.1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8/10/23,SAL-2,TM,Final,8/16/23,live,83,10,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/23,SAL-3,TM,1,3/8/24,preserved,35,60.9,4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/23,SAL-3,TM,2,3/8/24,preserved,40,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/23,SAL-3,TM,3,3/8/24,preserved,20,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,SAL-3,TM,1,3/14/24,preserved,10,73.8,15,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
7/13/23,SAL-3,TM,2,3/14/24,preserved,17,66.9,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
7/13/23,SAL-3,TM,3,3/14/24,preserved,15,72.7,12,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
7/27/23,SAL-3,TM,1,3/15/24,preserved,58.7,35,6,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
7/27/23,SAL-3,TM,2,3/15/24,preserved,46,45,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/27/23,SAL-3,TM,3,3/15/24,preserved,47.8,46,6,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
8/10/23,SAL-3,TM,Final,8/16/23,live,74,5,3,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-1S,TM,1,3/7/24,preserved,54,12,25,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-1S,TM,2,3/7/24,preserved,71.9,7,10,3,3,2,0,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-1S,TM,3,3/7/24,preserved,91,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/17/23,SFE-M-1S,TM,1,3/11/24,preserved,51.9,18,9,5,3,10,0.1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7/17/23,SFE-M-1S,TM,2,3/11/24,preserved,69,15,8,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/17/23,SFE-M-1S,TM,3,3/11/24,preserved,61,16,7,2,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-M-1S,TM,1,3/12/24,preserved,68.9,7,5,1,1,12,0,3,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-M-1S,TM,2,3/12/24,preserved,81.9,8,3,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
7/24/23,SFE-M-1S,TM,3,3/12/24,preserved,75.8,15,3,1,1,3,0,1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7/31/23,SFE-M-1S,TM,1,3/15/24,preserved,42,17,6,7,3,10,5,3,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0
7/31/23,SFE-M-1S,TM,2,3/15/24,preserved,42,19,5,5,2,11,6,3,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0
7/31/23,SFE-M-1S,TM,3,3/15/24,preserved,51,13,5,8,3,9,4,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0
8/7/23,SFE-M-1S,TM,1,3/12/24,preserved,47.9,15,7,5,2,6,1,2,0,0,0.1,0,0,10,0,0,0,2,2,0,0,0,0
8/7/23,SFE-M-1S,TM,2,3/12/24,preserved,89,5,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/7/23,SFE-M-1S,TM,3,3/12/24,preserved,73.9,13,2,1,3,5,1,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
8/14/23,SFE-M-1S,TM,Final,8/23/23,live,75.9,3,3,2,5,10,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
8/22/23,SFE-M-1S,TM,Final,8/30/23,live,74,5,1,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/23,SFE-M-1S,TM,Final,9/5/23,live,87,3,2,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/23,SFE-M-1S,TM,Final,9/11/23,live,77.9,8,5,1,2,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,SFE-M-1S,TM,Final,9/19/23,live,59.9,5,3,2,2,18,0.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/23,SFE-M-1S,TM,Final,9/21/23,live,64.8,5,4,6,5,15,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/23,SFE-M-1S,TM,Final,9/28/23,live,63.9,15,3,7,2,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-2,TM,1,3/11/24,preserved,61,12,8,2,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-2,TM,2,3/11/24,preserved,70,15,9,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-2,TM,3,3/11/24,preserved,68.9,20,7,1,1,1,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
7/24/23,SFE-M-2,TM,1,3/12/24,preserved,57,30,5,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-M-2,TM,2,3/12/24,preserved,48.9,40,4,3,1,1,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-M-2,TM,3,3/12/24,preserved,41.9,45,4,4,1,3,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/23,SFE-M-2,TM,1,3/18/24,preserved,64,10,6,7,1,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/23,SFE-M-2,TM,2,3/18/24,preserved,55,15,7,7,2,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/23,SFE-M-2,TM,3,3/18/24,preserved,54,16,7,8,3,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/7/23,SFE-M-2,TM,1,3/13/24,preserved,31,25,9,16,3,4,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8/7/23,SFE-M-2,TM,2,3/13/24,preserved,32.8,20,10,16,3,5,7,6,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
8/7/23,SFE-M-2,TM,3,3/13/24,preserved,35,19,9,14,4,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/14/23,SFE-M-2,TM,Final,8/25/23,live,66.9,5,15,2,1,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/22/23,SFE-M-2,TM,Final,8/31/23,live,80,5,3,2,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/23,SFE-M-2,TM,Final,9/5/23,live,92,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/23,SFE-M-2,TM,Final,9/11/23,live,90,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,SFE-M-2,TM,Final,9/19/23,live,83.8,5,2,1,1,7,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/23,SFE-M-2,TM,Final,9/21/23,live,77,15,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/23,SFE-M-2,TM,Final,9/28/23,live,78.7,7,8,0.1,1,5,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
7/3/23,SFE-M-3,TM,1,3/7/24,preserved,74.9,15,3,1,1,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/23,SFE-M-3,TM,2,3/7/24,preserved,80.8,7,3,1,2,6,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
7/3/23,SFE-M-3,TM,3,3/7/24,preserved,83.9,7,3,1,2,3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-3,TM,1,3/8/24,preserved,76.9,15,5,0,1,2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-3,TM,2,3/8/24,preserved,74,12,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/23,SFE-M-3,TM,3,3/8/24,preserved,63.9,20,9,0,3,4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/17/23,SFE-M-3,TM,1,3/14/24,preserved,67,15,5,4,2,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/17/23,SFE-M-3,TM,2,3/14/24,preserved,68,20,4,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/17/23,SFE-M-3,TM,3,3/14/24,preserved,66,17,4,3,2,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-M-3,TM,1,11/17/23,preserved,43,25,4,5,2,15,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
7/24/23,SFE-M-3,TM,2,11/17/23,preserved,48,20,6,7,5,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-M-3,TM,3,11/17/23,preserved,60,10,3,4,3,14,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
7/31/23,SFE-M-3,TM,1,3/18/24,preserved,64.9,10,5,5,2,7,3,2,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0
7/31/23,SFE-M-3,TM,2,3/18/24,preserved,59.9,9,6,10,3,6,5,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
7/31/23,SFE-M-3,TM,3,3/18/24,preserved,61.9,6,6,11,3,5,6,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
8/7/23,SFE-M-3,TM,1,3/13/24,preserved,46.9,13,10,15,3,4,0,5,0,0,3,0,0,0,0,0,0,0,0.1,0,0,0,0
8/7/23,SFE-M-3,TM,2,3/13/24,preserved,63.9,11,9,8,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
8/7/23,SFE-M-3,TM,3,3/13/24,preserved,51.7,15,8,8,3,8,3,3,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1,0
8/14/23,SFE-M-3,TM,Final,8/25/23,live,73.9,5,2,10,1,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/22/23,SFE-M-3,TM,Final,8/31/23,live,60,8,10,10,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/23,SFE-M-3,TM,Final,9/6/23,live,78,8,3,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/23,SFE-M-3,TM,Final,9/14/23,live,73.9,9,4,6,2,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,SFE-M-3,TM,Final,9/19/23,live,76.9,6,2,0.1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/23,SFE-M-3,TM,Final,9/26/23,live,74.8,10,2,0.1,5,8,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
9/24/23,SFE-M-3,TM,Final,9/28/23,live,69.6,10,6,2,4,8,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0
8/7/23,SFE-M-4,TM,1,3/13/24,preserved,45,44,2,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/7/23,SFE-M-4,TM,2,3/13/24,preserved,43.9,35,5,5,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
8/7/23,SFE-M-4,TM,3,3/13/24,preserved,45,30,6,6,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/22/23,SFE-M-4,TM,Final,8/31/23,live,52,10,5,8,3,12,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
9/4/23,SFE-M-4,TM,Final,9/14/23,live,79.9,10,2,0.1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,SFE-M-4,TM,1,11/17/23,preserved,68,15,4,3,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,SFE-M-4,TM,2,11/17/23,preserved,72,12,2,2,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,SFE-M-4,TM,3,11/17/23,preserved,68,10,6,5,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/23,SFE-M-4,TM,Final,9/26/23,live,69,12,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/24/23,SFE-M-4,TM,Final,9/28/23,live,66.8,12,15,0.1,1,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/23,SFE-SH-1S,TM,1,3/7/24,preserved,71,7,6,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
7/11/23,SFE-SH-1S,TM,2,3/7/24,preserved,76.9,6,8,4,1,3,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/23,SFE-SH-1S,TM,3,3/7/24,preserved,70.9,10,8,3,2,5,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
7/17/23,SFE-SH-1S,TM,1,3/11/24,preserved,57.8,15,10,4,2,6,0,2,0,0.1,3,0,0,0,0,0,0,0,0,0.1,0,0,0
7/17/23,SFE-SH-1S,TM,2,3/11/24,preserved,64.8,10,11,3,2,7,0,2,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7/17/23,SFE-SH-1S,TM,3,3/11/24,preserved,63.9,11,12,3,1,7,0,2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-SH-1S,TM,1,3/12/24,preserved,59,10,7,6,5,7,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-SH-1S,TM,2,3/12/24,preserved,53,15,8,7,4,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/23,SFE-SH-1S,TM,3,3/12/24,preserved,43,25,7,5,3,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/23,SFE-SH-1S,TM,1,3/15/24,preserved,38,17,8,8,3,10,5,2,0,2,3,0,0,0,0,3,0,0,1,0,0,0,0
7/31/23,SFE-SH-1S,TM,2,3/15/24,preserved,21,11,14,10,3,17,7,3,0,3,4,0,0,0,0,4,0,2,1,0,0,0,0
7/31/23,SFE-SH-1S,TM,3,3/15/24,preserved,20,12,13,11,4,15,9,3,0,3,5,0,0,0,0,3,0,1,1,0,0,0,0
8/14/23,SFE-SH-1S,TM,Final,8/23/23,live,52,5,10,10,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/22/23,SFE-SH-1S,TM,Final,8/30/23,live,81.9,5,2,1,8,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/23,SFE-SH-1S,TM,Final,9/5/23,live,73,4,4,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/23,SFE-SH-1S,TM,Final,9/11/23,live,71,10,5,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,SFE-SH-1S,TM,Final,9/14/23,live,79,5,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/23,SFE-SH-1S,TM,Final,9/21/23,live,58,10,3,2,6,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/24/23,SFE-SH-1S,TM,Final,9/26/23,live,70.9,4,8,2,3,12,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
7/20/22,RUS-1S,TAC,1,11/6/23,preserved,0,3,3,5,1,74,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/20/22,RUS-1S,TAC,2,11/6/23,preserved,0,7,5,7,2,64,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/20/22,RUS-1S,TAC,3,11/6/23,preserved,0,10,9,8,1,55,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/22,RUS-1S,TAC,1,11/8/23,preserved,0,8,5,7,2,62,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/22,RUS-1S,TAC,2,11/8/23,preserved,0,6,4,5,2,60,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/22,RUS-1S,TAC,3,11/8/23,preserved,0,3,4,3,1,78,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/17/22,RUS-1S,TAC,1,11/17/23,preserved,0,10,15,14,5,23,23,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
8/17/22,RUS-1S,TAC,2,11/17/23,preserved,0.1,12,17,15,4,15,26.9,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
8/17/22,RUS-1S,TAC,3,11/17/23,preserved,0.1,15,18,15,5,17,21.9,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
9/1/22,RUS-1S,TAC,1,11/20/23,preserved,5,25,7,7,6,18,26.9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0
9/1/22,RUS-1S,TAC,2,11/20/23,preserved,0,22,10,9,5,20,20,5,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0
9/1/22,RUS-1S,TAC,3,11/20/23,preserved,0,28,8,7,5,17,26,2,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0
9/15/22,RUS-1S,TAC,1,11/28/23,preserved,0,15,16,8,3,26,24,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0
9/15/22,RUS-1S,TAC,2,11/28/23,preserved,0.1,18,17,7,5,24.9,18,2,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0
9/15/22,RUS-1S,TAC,3,11/28/23,preserved,0.1,16,15,8,5,27.9,20,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
7/20/22,RUS-2,TAC,1,11/6/23,preserved,0.1,6,7,6,1,54.9,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/20/22,RUS-2,TAC,2,11/6/23,preserved,0.1,6,8,5,1,53.9,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/20/22,RUS-2,TAC,3,11/6/23,preserved,0.1,7,6,5,1,51.9,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/22,RUS-2,TAC,1,11/8/23,preserved,0,10,7,5,2,39,30,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/22,RUS-2,TAC,2,11/8/23,preserved,0,12,5,5,1,47,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/22,RUS-2,TAC,3,11/8/23,preserved,0,15,4,4,3,42,20,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
8/17/22,RUS-2,TAC,1,11/20/23,preserved,0.1,25,10,8,2,18,29.8,7,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
8/17/22,RUS-2,TAC,2,11/20/23,preserved,0.1,28,15,9,2,12,25.8,8,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
8/17/22,RUS-2,TAC,3,11/20/23,preserved,0,22,10,9,5,11,35.9,7,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
9/1/22,RUS-2,TAC,1,11/20/23,preserved,1,30,6,7,3,25,18,4,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0
9/1/22,RUS-2,TAC,2,11/20/23,preserved,0,22,7,7,5,20,29,3,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0
9/1/22,RUS-2,TAC,3,11/20/23,preserved,0.1,25,5,4,3,25,33.9,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9/15/22,RUS-2,TAC,1,11/30/23,preserved,0.1,9,10,4,7,33.9,26,5,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
9/15/22,RUS-2,TAC,2,11/30/23,preserved,0,12,15,3,6,25,25,7,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0
9/15/22,RUS-2,TAC,3,11/30/23,preserved,0,15,12,3,8,29,22,5,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0
7/20/22,RUS-3,TAC,1,11/7/23,preserved,0,7,6,5,5,59,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/20/22,RUS-3,TAC,2,11/7/23,preserved,0,9,5,4,6,61,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
