date,year,site,mat,pcr_samp_present,sample,samp_rerun,DNA_conc_ng_uL,DNA_conc_rerun,ana_C/uL,ana_C/uL_rerun,nif/uL,nif/uL_rerun,ATX_all_ug_g,ATXa_ug_g,HTXa_ug_g,dhATXa_ug_g,org_matter_percent,Notes,UNR_Notes
9/4/23,2023,4,Microcoleus,Y,,156,,NA,,NA,,NA,1.937,1.699,bdl,0.238,0.34,Rerun Bad Quality,
9/4/23,2023,1S,Microcoleus,Y,33,,38,,72074,,448,,15.452,12.91665,bdl,2.53535,0.757,,
9/12/23,2023,2,Microcoleus,Y,41,159,115,114.2,6.38,6388,NA,0,9.897,8.982,bdl,0.915,0.613,,"Original file said 6.38 for ana_C/uL, but newer file from 1/2026 says NA"
9/12/23,2023,3,Microcoleus,Y,40,158,43,105.5,5404,0,NA,0,19.99,18.323,bdl,1.667,0.73,,"Original file said 5404 for ana_C/ul, but newer file from 1/2026 says 43.9"
9/12/23,2023,4,Microcoleus,Y,44,153,36,57.3,0,20904,NA,892,1.252,1.157,bdl,0.095,0.46,,
9/12/23,2023,1S,Microcoleus,Y,42,169,50,NA,1772,NA,NA,NA,9.087,8.2675,bdl,0.8195,0.76,Rerun Bad Quality,
9/18/23,2023,2,Microcoleus,Y,43,174,63,NA,427,NA,NA,NA,5.895,5.437,bdl,0.458,0.55,Rerun Bad Quality,
9/18/23,2023,3,Microcoleus,Y,48,183,18,114.5,103,0,NA,0,12.81,11.662,bdl,1.148,0.74,,
9/18/23,2023,4,Microcoleus,Y,47,187,22,96.1,0,22269,NA,581,0.7697,0.7077,bdl,0.062,0.5,,
9/18/23,2023,1S,Microcoleus,Y,45,196,52,55.7,8259,760,NA,1269,25.037,22.0535,bdl,2.9835,0.75,,
9/24/23,2023,2,Microcoleus,Y,51,186,64,130,41816,3870,NA,2513,3.0674,2.7717,bdl,0.2957,0.576,,
9/24/23,2023,3,Microcoleus,Y,52,198,24,NA,NA,NA,NA,NA,5.638,5.312,bdl,0.326,0.76,Rerun Bad Quality,
9/24/23,2023,4,Microcoleus,Y,53,201,8,105.1,472,10769,NA,150,0.101,0.101,bdl,bdl,0.61,,
9/24/23,2023,1S,Microcoleus,Y,49,181,129,NA,66,NA,NA,NA,10.448,9.408,bdl,1.04,0.79,Rerun Bad Quality,
7/10/23,2023,2,Anabaena,Y,,31,,NA,,NA,,NA,,,,,,Rerun Bad Quality,
7/10/23,2023,3,Anabaena,Y,,16,,NA,,NA,,NA,,,,,,Rerun Empty,
7/10/23,2023,4,Anabaena,Y,,2,,NA,,NA,,NA,0.042,0.042,bdl,bdl,0.67,Rerun Bad Quality,
7/10/23,2023,1S,Anabaena,Y,,47,,58.1,,0,,870,bdl,bdl,bdl,bdl,0.64,,
7/17/23,2023,2,Anabaena,Y,,13,,43,,5178,,6690,,,,,,,
7/17/23,2023,3,Anabaena,Y,,34,,127.8,,3768,,17670,,,,,,,
7/17/23,2023,4,Anabaena,Y,,53,,84.6,,0,,1299,0.015,0.015,bdl,bdl,0.41,,
7/17/23,2023,1S,Anabaena,Y,,11,,83.4,,110.5,,255,0.0237,0.0237,bdl,bdl,0.543,,
7/24/23,2023,2,Anabaena,Y,,54,,148.5,,754,,22976,1.588,1.423,bdl,0.165,0.33,,
7/24/23,2023,3,Anabaena,Y,,12,,65.2,,0,,0,0.088,0.026,bdl,0.062,0.32,,
7/24/23,2023,4,Anabaena,Y,,24,,59.9,,0,,0,0.778,0.605,bdl,0.173,0.39,,
7/24/23,2023,1S,Anabaena,N,,,,,,,,,0.1485,0.124,bdl,0.0245,0.4,,
7/31/23,2023,2,Anabaena,Y,,76,,159,,0,,0,5.019,4.227,bdl,0.792,0.34,,
7/31/23,2023,3,Anabaena,Y,,70,,80.7,,0,,0,0.763,0.588,bdl,0.175,0.42,,
7/31/23,2023,4,Anabaena,Y,,98,,NA,,NA,,NA,4.988,3.862,bdl,1.126,0.42,Rerun Empty,
7/31/23,2023,1S,Anabaena,Y,,72,,282.6,,12.8,,0,3.692,3.132,bdl,0.56,0.413,,
8/7/23,2023,2,Anabaena,Y,,131,,132,,0,,29532,1.232,1.144,bdl,0.088,0.13,,
8/7/23,2023,3,Anabaena,Y,,118,,56.4,,22879,,467,4.813,4.13,bdl,0.683,0.45,,
8/7/23,2023,4,Anabaena,Y,,129,,76.2,,0,,0,38.588,34.248,bdl,4.34,0.44,,
8/7/23,2023,1S,Anabaena,Y,,73,,147.1,,37339,,0,7.132,6.37365,bdl,0.75835,0.386,,
8/14/23,2023,2,Anabaena,Y,,130,,58.6,,0,,0,51.352,45.657,bdl,5.695,0.29,,
8/14/23,2023,3,Anabaena,Y,,108,,58.8,,16234,,0,24.8473,21.7983,bdl,3.049,0.568,,
8/14/23,2023,4,Anabaena,Y,,142,,47.9,,0,,0,25.082,21.478,bdl,3.604,0.37,,
8/14/23,2023,1S,Anabaena,Y,,116,,188.1,,0,,0,36.5015,32.276,0.019,4.2065,0.51,,
8/22/23,2023,2,Anabaena,Y,,113,,102,,11785,,39.5,6.923,5.981,bdl,0.942,0.2,,
8/22/23,2023,3,Anabaena,Y,,103,,102,,1005,,579,17.0943,13.9683,bdl,3.126,0.434,,
8/22/23,2023,4,Anabaena,Y,,147,,28.2,,0,,0,32.741,28.817,bdl,3.924,0.5,,
8/22/23,2023,1S,Anabaena,Y,,150,,151.8,,0,,0,15.9715,13.9875,bdl,1.984,0.38,,
8/28/23,2023,2,Anabaena,Y,,178,,NA,,NA,,NA,,,,,,Rerun Bad Quality,
8/28/23,2023,3,Anabaena,Y,,164,,NA,,NA,,NA,0.616,0.463,bdl,0.153,0.38,Rerun Bad Quality,
8/28/23,2023,4,Anabaena,Y,,175,,63.7,,0,,0,,,,,,,
8/28/23,2023,1S,Anabaena,Y,,119,,NA,,NA,,NA,12.598,10.67,bdl,1.928,1.2,Rerun Bad Quality,
9/4/23,2023,2,Anabaena,Y,,171,,67,,3049,,4106,0.013,0.013,bdl,bdl,0.14,,
9/4/23,2023,3,Anabaena,Y,,176,,NA,,NA,,NA,,,,,,Rerun Bad Quality,
9/4/23,2023,4,Anabaena,N,,,,,,,,,,,,,,,
9/4/23,2023,1S,Anabaena,Y,,152,,NA,,NA,,NA,2.913,2.615,bdl,0.298,0.447,Rerun Bad Quality,
9/12/23,2023,2,Anabaena,N,,,,,,,,,,,,,,,
9/12/23,2023,3,Anabaena,N,,,,,,,,,,,,,,,
9/12/23,2023,4,Anabaena,N,,,,,,,,,,,,,,,
9/12/23,2023,1S,Anabaena,Y,,160,,71.5,,53805,,6700,0.027,0.027,bdl,bdl,0.3,,
9/18/23,2023,2,Anabaena,Y,,146,,NA,,NA,,NA,bdl,bdl,bdl,bdl,0.15,Rerun Bad Quality,
9/18/23,2023,3,Anabaena,Y,,166,,NA,,NA,,NA,bdl,bdl,bdl,bdl,0.263,Rerun Bad Quality,
9/18/23,2023,4,Anabaena,Y,,199,,34,,100.3,,305,,,,,,,
9/18/23,2023,1S,Anabaena,Y,,151,,NA,,NA,,NA,3.6115,3.032,bdl,0.5795,0.31,Rerun Bad Quality,
9/24/23,2023,2,Anabaena,Y,,189,,NA,,NA,,NA,0.0093,bdl,0.0093,bdl,0.243,Rerun Bad Quality,
9/24/23,2023,3,Anabaena,Y,,185,,NA,,NA,,NA,,,,,,Rerun Bad Quality,
9/24/23,2023,4,Anabaena,Y,,202,,NA,,NA,,NA,,,,,,Rerun Bad Quality,
9/24/23,2023,1S,Anabaena,Y,,188,,47,,1178,,875,0.561,0.5155,bdl,0.0455,0.42,,
6/19/24,2024,2,Microcoleus,N,,,,,,,,,,,,,,,"For ATXs in 2024, duplicates were averaged, and EXT samples were averaged"
6/19/24,2024,3,Microcoleus,Y,1m46,,59.1,,175,,497,,,,,,,,
6/19/24,2024,4,Microcoleus,Y,1m47,,273,,2.01,,7.38,,bdl,bdl,bdl,bdl,0.7353,,
6/19/24,2024,1S,Microcoleus,Y,1m45,,315,,5.31,,0,,bdl,bdl,bdl,bdl,0.76,,
7/2/24,2024,2,Microcoleus,N,,,,,,,,,bdl,bdl,bdl,bdl,0.3528,,ATX triplicate
7/2/24,2024,3,Microcoleus,Y,53,,384.8,,0,,0,,bdl,bdl,bdl,bdl,0.6055,,
7/2/24,2024,4,Microcoleus,Y,54,,365.1,,0.589,,4.66,,bdl,bdl,bdl,bdl,0.6045,,
7/2/24,2024,1S,Microcoleus,Y,51,,60.3,,0,,17562,,bdl,bdl,bdl,bdl,0.5929,,
7/17/24,2024,2,Microcoleus,Y,11,,216.1,,15.7,,29.1,,bdl,bdl,bdl,bdl,0.395,,
7/17/24,2024,3,Microcoleus,Y,12,,208.3,,0.426,271,0,,bdl,bdl,bdl,bdl,0.6139,,qPCR reruns for 2024 performed on the same samples as before
7/17/24,2024,3,Microcoleus,Y,13,,223.4,,17,1065,30,,bdl,bdl,bdl,bdl,0.6139,,PCR duplicate
7/17/24,2024,4,Microcoleus,Y,14,,228.3,,22.1,,0,,bdl,bdl,bdl,bdl,0.0963,,
7/17/24,2024,1S,Microcoleus,Y,15,,188.8,,117,,629,,0.053,bdl,bdl,0.053,0.5604,,ATX triplicate
7/31/24,2024,2,Microcoleus,Y,30,,219.1,,17,,7.05,,bdl,0.363,bdl,bdl,0.0981,,
7/31/24,2024,3,Microcoleus,Y,32,,347,,0,10.67,0,,0.059,bdl,bdl,0.059,0.7599,,
7/31/24,2024,3,Microcoleus,Y,33,,294.3,,0.388,20.5,0,,0.059,bdl,bdl,0.059,0.7599,,PCR duplicate
7/31/24,2024,4,Microcoleus,Y,36,,140.8,,2.01,,46.6,,bdl,bdl,bdl,bdl,0.0694,,ATX triplicate
7/31/24,2024,1S,Microcoleus,Y,28,,183.1,,0.226,,0,,0.38,0.602,bdl,0.0995,0.6154,,ATX duplicate
8/14/24,2024,2,Microcoleus,Y,40,,315.8,,48100,,0,,0.594,0.594,bdl,bdl,0.3016,,
8/14/24,2024,3,Microcoleus,Y,42,,139.6,,0,,0,,0.081,bdl,bdl,0.081,0.7358,,
8/14/24,2024,4,Microcoleus,Y,44,,134.9,,41.3,,223,,0.88,0.614,bdl,0.266,0.3468,,
8/14/24,2024,1S,Microcoleus,Y,38,,234.2,,1236,,0,,2.514,1.9825,bdl,0.532,0.6084,,ATX duplicate
8/26/24,2024,2,Microcoleus,Y,75,,180.7,,1.04,,0,,0.341,0.262,bdl,0.078,0.2411,,
8/26/24,2024,3,Microcoleus,Y,73,,195.7,,0,,0,,1.697,1.23,bdl,0.466,0.7167,,
8/26/24,2024,4,Microcoleus,Y,77,,52.2,,0,,0,,1.067,0.663,bdl,0.404,0.5627,,
8/26/24,2024,1S,Microcoleus,Y,71,,23.2,,4.44,,194,,2.051,1.436,bdl,0.616,0.5808,,
9/14/24,2024,2,Microcoleus,Y,84,,19,,203,,209,,0.032666667,bdl,bdl,0.032666667,0.6058,,ATX triplicate
9/14/24,2024,3,Microcoleus,Y,82,,216.8,,5.87,,118,,0.096,bdl,bdl,0.096,0.1457,,
9/14/24,2024,4,Microcoleus,Y,80,,136,,128,,2.57,,0.086,bdl,bdl,0.086,0.5352,,
9/14/24,2024,1S,Microcoleus,Y,86,,259.8,,31.5,,2.91,,bdl,bdl,bdl,bdl,0.6882,,
9/27/24,2024,2,Microcoleus,Y,101,,321.3,,0,,0,,,,,,1.1057,,
9/27/24,2024,3,Microcoleus,N,,,,,,,,,,,,,,,
9/27/24,2024,4,Microcoleus,Y,103,,38.9,,117,,7.91,,,,,,0.5743,,
9/27/24,2024,1S,Microcoleus,Y,100,,159.5,,0.728,,0,,bdl,bdl,bdl,bdl,0.5275,,
10/10/24,2024,2,Microcoleus,Y,106,,57.7,,1.68,,7.78,,,,,,0.6274,,
10/10/24,2024,3,Microcoleus,N,,,,,,,,,,,,,,,
10/10/24,2024,4,Microcoleus,Y,108,,142,,0,,0,,,,,,,,
10/10/24,2024,1S,Microcoleus,Y,105,,327.3,,0,,13.3,,bdl,bdl,bdl,bdl,0.6482,,ATX duplicate
7/17/24,2024,2,Anabaena,N,,,,,,,,,,,,,,,
7/17/24,2024,3,Anabaena,N,,,,,,,,,,,,,,,
7/17/24,2024,4,Anabaena,N,,,,,,,,,,,,,,,
7/17/24,2024,1S,Anabaena,Y,16,,97.4,,48.1,,28883,,,,,,0.3351,,
7/31/24,2024,2,Anabaena,Y,31,,45.4,,18072,,83867,,4.878,3.489,bdl,1.389,0.4409,,
7/31/24,2024,3,Anabaena,Y,34,,125.1,,124000000,904,0,,1.241,1.005,bdl,0.236,0.5027,,
7/31/24,2024,3,Anabaena,Y,35,,35.2,,1.12,10590,0,,,,,,0.5027,,PCR duplicate
7/31/24,2024,4,Anabaena,Y,37,,30,,2445,,34938,,1.111333333,0.898333333,bdl,0.213666667,0.3123,,ATX triplicate
7/31/24,2024,1S,Anabaena,Y,29,,82,,1316,,1196,,3.0275,2.71,bdl,0.3175,0.1409,,ATX duplicate
8/14/24,2024,2,Anabaena,Y,41,,48.1,,47300,,6.53,,bdl,0.204,0.093,bdl,0.3194,,
8/14/24,2024,3,Anabaena,Y,43,,114.2,,0,,0,,bdl,bdl,bdl,bdl,0.204,,
8/14/24,2024,4,Anabaena,Y,45,,324.4,,0,,3910000,8489,1.988,1.218,bdl,0.77,0.1016,,
8/14/24,2024,1S,Anabaena,Y,39,,206.2,,0,,1990000,652,0.538,0.448333333,bdl,0.089666667,0.3376,,ATX triplicate
8/26/24,2024,2,Anabaena,Y,74,,57.8,,0.931,,52.6,,2.242,1.424,bdl,0.818,0.35,,
8/26/24,2024,3,Anabaena,Y,76,,59,,2940000,,1202,,6.578,4.731666667,bdl,1.846,0.4688,,ATX triplicate
8/26/24,2024,4,Anabaena,N,,,,,,,,,1.172,0.746,bdl,0.426,0.3505,,
8/26/24,2024,1S,Anabaena,N,,,,,,,,,2.083,1.529,bdl,0.553,0.2255,,
9/14/24,2024,2,Anabaena,N,,,,,,,,,0.072333333,bdl,bdl,0.072333333,0.3431,,ATX triplicate
9/14/24,2024,3,Anabaena,N,,,,,,,,,0.158,bdl,bdl,0.158,0.3042,,
9/14/24,2024,4,Anabaena,N,,,,,,,,,0.066,bdl,bdl,0.066,0.8217,,
9/14/24,2024,1S,Anabaena,N,,,,,,,,,0.022,bdl,bdl,0.022,0.3356,,
