field_date,site_reach,site,reach,green_algae,microcoleus,anabaena_cylindrospermum,bare_biofilm,other_nfixers,micro_transects,ana_cyl_transects,total_transects,proportion_micro_transects,proportion_ana_cyl_transects
9/15/22,RUS-3,RUS,3,36.81818182,0,0.090909091,63.09090909,0,0,4,11,0,0.363636364
6/27/22,SAL-1S,SAL,1S,0,0,0,100,0,0,0,11,0,0
7/12/22,SAL-1S,SAL,1S,2.181818182,7.727272727,0,90.09090909,0,8,0,11,0.727272727,0
7/26/22,SAL-1S,SAL,1S,12.6,27.7,0,59.7,0,8,0,10,0.8,0
9/22/22,SAL-1S,SAL,1S,69.09090909,0,0,30.90909091,0,0,0,11,0,0
7/12/22,SAL-2,SAL,2,0,3.181818182,0,96.81818182,0,6,0,11,0.545454545,0
7/26/22,SAL-2,SAL,2,0.545454545,13.27272727,0,86.18181818,0,9,0,11,0.818181818,0
9/22/22,SAL-2,SAL,2,57.90909091,0,0,42.09090909,0,0,0,11,0,0
6/27/22,SAL-3,SAL,3,0,0,0,100,0,0,0,11,0,0
7/12/22,SAL-3,SAL,3,0.363636364,1.363636364,0,98.27272727,0,2,0,11,0.181818182,0
7/26/22,SAL-3,SAL,3,0.090909091,5.909090909,0,94,0,4,0,11,0.363636364,0
9/22/22,SAL-3,SAL,3,40,0,0.090909091,59.90909091,0,0,4,11,0,0.363636364
6/29/22,SFE-M-1S,SFE-M,1S,4.363636364,0.636363636,0,91.81818182,3.181818182,4,0,11,0.363636364,0
7/14/22,SFE-M-1S,SFE-M,1S,23.36363636,0,0.909090909,69.45454545,6.272727273,1,3,11,0.090909091,0.272727273
7/28/22,SFE-M-1S,SFE-M,1S,27.45454545,1,8.909090909,61.72727273,0.909090909,5,11,11,0.454545455,1
8/10/22,SFE-M-1S,SFE-M,1S,46.90909091,6.636363636,2.363636364,42.45454545,1.636363636,11,9,11,1,0.818181818
8/23/22,SFE-M-1S,SFE-M,1S,53.90909091,2.727272727,0,42.90909091,0.454545455,4,0,11,0.363636364,0
9/6/22,SFE-M-1S,SFE-M,1S,56.18181818,10.45454545,0.090909091,32.36363636,0.909090909,5,3,11,0.454545455,0.272727273
9/17/22,SFE-M-1S,SFE-M,1S,51.27272727,11.36363636,2.454545455,34.45454545,0.454545455,8,7,11,0.727272727,0.636363636
6/29/22,SFE-M-3,SFE-M,3,15.90909091,0.272727273,0,81.36363636,2.454545455,6,0,11,0.545454545,0
7/14/22,SFE-M-3,SFE-M,3,40,1.818181818,0.909090909,53,4.272727273,3,5,11,0.272727273,0.454545455
7/28/22,SFE-M-3,SFE-M,3,42.18181818,1.545454545,24.18181818,31.54545455,0.545454545,4,10,11,0.363636364,0.909090909
8/10/22,SFE-M-3,SFE-M,3,67.81818182,0.909090909,0.272727273,29.36363636,1.636363636,4,5,11,0.363636364,0.454545455
8/23/22,SFE-M-3,SFE-M,3,57.18181818,3.181818182,0,39.63636364,0,3,1,11,0.272727273,0.090909091
9/6/22,SFE-M-3,SFE-M,3,43.18181818,1.818181818,0,54.45454545,0.545454545,4,0,11,0.363636364,0
9/17/22,SFE-M-3,SFE-M,3,14.18181818,12,0,73.18181818,0.636363636,4,0,11,0.363636364,0
6/29/22,SFE-M-4,SFE-M,4,10.18181818,0,0,88.54545455,1.272727273,4,0,11,0.363636364,0
7/14/22,SFE-M-4,SFE-M,4,40,0,0.272727273,58.09090909,1.636363636,0,9,11,0,0.818181818
7/28/22,SFE-M-4,SFE-M,4,38.18181818,0,25.90909091,34.81818182,1.090909091,0,11,11,0,1
8/10/22,SFE-M-4,SFE-M,4,52.18181818,5,3.181818182,38.54545455,1.090909091,9,11,11,0.818181818,1
8/23/22,SFE-M-4,SFE-M,4,25.54545455,1.363636364,0.909090909,71.18181818,1,1,1,11,0.090909091,0.090909091
9/6/22,SFE-M-4,SFE-M,4,16.36363636,0,0,78.81818182,4.818181818,0,0,11,0,0
9/17/22,SFE-M-4,SFE-M,4,15.09090909,0,0,81.72727273,3.181818182,0,0,11,0,0
6/25/23,SFE-SH-1S,SFE-SH,1S,8.818181818,0,0,91.18181818,0,1,0,11,0.090909091,0
7/3/23,SFE-SH-1S,SFE-SH,1S,3.818181818,0,0,95.45454545,0.727272727,1,0,11,0.090909091,0
7/17/23,SFE-SH-1S,SFE-SH,1S,14.09090909,1.363636364,0,84.18181818,0.363636364,6,0,11,0.545454545,0
7/24/23,SFE-SH-1S,SFE-SH,1S,38.18181818,0.454545455,0.181818182,60.45454545,0.727272727,5,4,11,0.454545455,0.363636364
7/31/23,SFE-SH-1S,SFE-SH,1S,37.09090909,0,0.090909091,62.09090909,0.727272727,2,4,11,0.181818182,0.363636364
8/7/23,SFE-SH-1S,SFE-SH,1S,10.54545455,0,1.454545455,87.18181818,0.818181818,0,6,11,0,0.545454545
8/14/23,SFE-SH-1S,SFE-SH,1S,15.90909091,0,1.818181818,80.27272727,2,1,9,11,0.090909091,0.818181818
8/22/23,SFE-SH-1S,SFE-SH,1S,11.72727273,0.545454545,0.545454545,86.81818182,0.363636364,7,4,11,0.636363636,0.363636364
8/28/23,SFE-SH-1S,SFE-SH,1S,30.18181818,1,0,68.45454545,0.363636364,8,0,11,0.727272727,0
9/4/23,SFE-SH-1S,SFE-SH,1S,56,1.272727273,0,41.63636364,1.090909091,8,0,11,0.727272727,0
9/12/23,SFE-SH-1S,SFE-SH,1S,42.90909091,1.909090909,0,55.09090909,0.090909091,8,0,11,0.727272727,0
9/18/23,SFE-SH-1S,SFE-SH,1S,49.72727273,5.818181818,0,44.45454545,0,8,6,11,0.727272727,0.545454545
9/24/23,SFE-SH-1S,SFE-SH,1S,28.27272727,8.363636364,0.363636364,62.63636364,0.363636364,8,4,11,0.727272727,0.363636364
6/20/23,SFE-M-1S,SFE-M,1S,2.272727273,0,0,97.72727273,0,0,0,11,0,0
6/25/23,SFE-M-1S,SFE-M,1S,7.181818182,0,0,92.81818182,0,0,0,11,0,0
7/3/23,SFE-M-1S,SFE-M,1S,10.63636364,0,0,88.81818182,0.545454545,1,0,11,0.090909091,0
7/10/23,SFE-M-1S,SFE-M,1S,20.45454545,0.454545455,0,78.36363636,0.727272727,2,3,11,0.181818182,0.272727273
7/17/23,SFE-M-1S,SFE-M,1S,15.45454545,0,0.363636364,82.18181818,2,1,5,11,0.090909091,0.454545455
7/24/23,SFE-M-1S,SFE-M,1S,21.54545455,0.909090909,0.818181818,75.36363636,1.363636364,2,4,11,0.181818182,0.363636364
7/31/23,SFE-M-1S,SFE-M,1S,28.63636364,1.181818182,1.545454545,67.45454545,1.181818182,2,8,11,0.181818182,0.727272727
8/7/23,SFE-M-1S,SFE-M,1S,45.45454545,0.909090909,11.90909091,40.54545455,1.181818182,2,9,11,0.181818182,0.818181818
8/14/23,SFE-M-1S,SFE-M,1S,25.36363636,6.136363636,9.681818182,56.45454545,2.363636364,9,7,11,0.818181818,0.636363636
8/22/23,SFE-M-1S,SFE-M,1S,29.54545455,8,3.727272727,56.27272727,2.454545455,8,10,11,0.727272727,0.909090909
8/28/23,SFE-M-1S,SFE-M,1S,23.54545455,8.454545455,1.454545455,64.09090909,2.454545455,10,8,11,0.909090909,0.727272727
9/4/23,SFE-M-1S,SFE-M,1S,33.45454545,4.818181818,4.545454545,46.72727273,10.45454545,7,8,11,0.636363636,0.727272727
9/12/23,SFE-M-1S,SFE-M,1S,28.45454545,4.545454545,2.909090909,57.72727273,6.363636364,6,7,11,0.545454545,0.636363636
9/18/23,SFE-M-1S,SFE-M,1S,22,9.090909091,3.272727273,53.36363636,12.27272727,6,7,11,0.545454545,0.636363636
9/24/23,SFE-M-1S,SFE-M,1S,2,13,2.090909091,69.63636364,13.27272727,3,5,11,0.272727273,0.454545455
6/20/23,SFE-M-2,SFE-M,2,0.6,0,0,99.4,0,1,0,10,0.1,0
6/25/23,SFE-M-2,SFE-M,2,0.5,0,0,99.5,0,0,0,10,0,0
7/3/23,SFE-M-2,SFE-M,2,1.3,0,0,98.7,0,0,0,10,0,0
7/10/23,SFE-M-2,SFE-M,2,1.3,0,0,98.7,0,1,1,10,0.1,0.1
7/17/23,SFE-M-2,SFE-M,2,0.6,0,0,99.4,0,0,1,10,0,0.1
7/24/23,SFE-M-2,SFE-M,2,1.363636364,0.363636364,0,98.27272727,0,3,2,11,0.272727273,0.181818182
7/31/23,SFE-M-2,SFE-M,2,1.272727273,0,0,98.72727273,0,4,4,11,0.363636364,0.363636364
8/7/23,SFE-M-2,SFE-M,2,1.818181818,0.181818182,0,97.90909091,0.090909091,5,3,11,0.454545455,0.272727273
8/14/23,SFE-M-2,SFE-M,2,1.545454545,1.818181818,0,96.63636364,0,5,5,11,0.454545455,0.454545455
8/22/23,SFE-M-2,SFE-M,2,6.272727273,0.454545455,0,93.18181818,0.090909091,11,4,11,1,0.363636364
8/28/23,SFE-M-2,SFE-M,2,1.090909091,2,0,96.90909091,0,9,1,11,0.818181818,0.090909091
9/4/23,SFE-M-2,SFE-M,2,0.636363636,1.818181818,0,97.54545455,0,10,4,11,0.909090909,0.363636364
9/12/23,SFE-M-2,SFE-M,2,1.454545455,1,0,97.54545455,0,9,0,11,0.818181818,0
9/18/23,SFE-M-2,SFE-M,2,0,11.63636364,0.454545455,87.90909091,0,9,3,11,0.818181818,0.272727273
9/24/23,SFE-M-2,SFE-M,2,0,16.18181818,0,83.81818182,0,11,4,11,1,0.363636364
6/20/23,SFE-M-3,SFE-M,3,2.545454545,0,0,97.36363636,0.090909091,0,0,11,0,0
6/25/23,SFE-M-3,SFE-M,3,0.363636364,0,0,98.90909091,0.727272727,0,0,11,0,0
7/3/23,SFE-M-3,SFE-M,3,5.181818182,0.181818182,0,93.72727273,0.909090909,2,0,11,0.181818182,0
7/10/23,SFE-M-3,SFE-M,3,6.909090909,0.727272727,0,91.45454545,0.909090909,3,0,11,0.272727273,0
7/17/23,SFE-M-3,SFE-M,3,2.272727273,0.636363636,0,96.18181818,0.909090909,4,2,11,0.363636364,0.181818182
7/24/23,SFE-M-3,SFE-M,3,13.36363636,0.909090909,0.636363636,84.81818182,0.272727273,4,6,11,0.363636364,0.545454545
7/31/23,SFE-M-3,SFE-M,3,19.27272727,1.636363636,1.818181818,77.09090909,0.181818182,4,7,11,0.363636364,0.636363636
8/7/23,SFE-M-3,SFE-M,3,7.272727273,4.727272727,9.909090909,77.09090909,1,5,7,11,0.454545455,0.636363636
8/14/23,SFE-M-3,SFE-M,3,19.72727273,11.09090909,14.54545455,54.36363636,0.272727273,6,8,11,0.545454545,0.727272727
8/22/23,SFE-M-3,SFE-M,3,18.81818182,13.36363636,2.272727273,65.36363636,0.181818182,9,11,11,0.818181818,1
8/28/23,SFE-M-3,SFE-M,3,26.90909091,12.36363636,0.181818182,60.36363636,0.181818182,9,6,11,0.818181818,0.545454545
9/4/23,SFE-M-3,SFE-M,3,4.363636364,18.81818182,0,76.36363636,0.454545455,5,2,11,0.454545455,0.181818182
9/12/23,SFE-M-3,SFE-M,3,3.363636364,17.27272727,0,78.90909091,0.454545455,5,0,11,0.454545455,0
9/18/23,SFE-M-3,SFE-M,3,5,24.09090909,0.272727273,70.27272727,0.363636364,5,5,11,0.454545455,0.454545455
9/24/23,SFE-M-3,SFE-M,3,0,22.72727273,0,77.27272727,0,5,2,11,0.454545455,0.181818182
6/20/23,SFE-M-4,SFE-M,4,1.545454545,0,0,98.45454545,0,0,0,11,0,0
6/25/23,SFE-M-4,SFE-M,4,4.545454545,0,0,95.45454545,0,1,0,11,0.090909091,0
7/3/23,SFE-M-4,SFE-M,4,15,0,0,85,0,0,0,11,0,0
7/10/23,SFE-M-4,SFE-M,4,27.90909091,0,0,72.09090909,0,0,3,11,0,0.272727273
7/17/23,SFE-M-4,SFE-M,4,28.90909091,0,0.454545455,70.63636364,0,0,6,11,0,0.545454545
7/24/23,SFE-M-4,SFE-M,4,27.90909091,0,3.909090909,68.18181818,0,1,9,11,0.090909091,0.818181818
7/31/23,SFE-M-4,SFE-M,4,22.36363636,0,18.90909091,58.72727273,0,1,8,11,0.090909091,0.727272727
8/7/23,SFE-M-4,SFE-M,4,24.09090909,0,22.27272727,53.63636364,0,2,7,11,0.181818182,0.636363636
8/14/23,SFE-M-4,SFE-M,4,14.81818182,12.90909091,14.72727273,57.36363636,0.181818182,8,8,11,0.727272727,0.727272727
8/22/23,SFE-M-4,SFE-M,4,27.36363636,3.181818182,3.636363636,62.90909091,2.909090909,8,8,11,0.727272727,0.727272727
8/28/23,SFE-M-4,SFE-M,4,26.90909091,0,0.181818182,68.09090909,4.818181818,1,1,11,0.090909091,0.090909091
9/4/23,SFE-M-4,SFE-M,4,15.36363636,0,0,81.63636364,3,1,0,11,0.090909091,0
9/12/23,SFE-M-4,SFE-M,4,16.27272727,0.454545455,0,80.90909091,2.363636364,2,0,11,0.181818182,0
9/18/23,SFE-M-4,SFE-M,4,0.454545455,0.545454545,0.181818182,96.18181818,2.636363636,2,2,11,0.181818182,0.181818182
9/24/23,SFE-M-4,SFE-M,4,0.181818182,0,0.090909091,96.27272727,3.454545455,4,1,11,0.363636364,0.090909091
6/28/23,SAL-1S,SAL,1S,0,0,0,100,0,0,0,11,0,0
7/13/23,SAL-1S,SAL,1S,0,2.363636364,0,97.63636364,0,6,0,11,0.545454545,0
7/27/23,SAL-1S,SAL,1S,0,8.090909091,0,91.90909091,0,7,0,11,0.636363636,0
8/10/23,SAL-1S,SAL,1S,0.272727273,16.36363636,0,83.36363636,0,8,0,11,0.727272727,0
6/28/23,SAL-2,SAL,2,0,0,0,100,0,0,0,11,0,0
7/13/23,SAL-2,SAL,2,0.909090909,1.272727273,0,97.81818182,0,4,0,11,0.363636364,0
7/27/23,SAL-2,SAL,2,0,2.272727273,0,97.72727273,0,4,0,11,0.363636364,0
8/10/23,SAL-2,SAL,2,0.090909091,3.727272727,0,96.18181818,0,6,0,11,0.545454545,0
6/28/23,SAL-3,SAL,3,0,0.6,0,99.4,0,3,0,10,0.3,0
7/13/23,SAL-3,SAL,3,0.1,0.5,0,99.4,0,4,0,10,0.4,0
7/27/23,SAL-3,SAL,3,0,3,0,97,0,4,0,10,0.4,0
8/10/23,SAL-3,SAL,3,0,3.5,0,96.5,0,4,0,10,0.4,0
